deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,134,0,0,0,0,0,0,0.0,0,0,0.0,40,0,FLOODS,1995-08-10,1995-08-15,1995-08-15
2,37,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1996-06-13,1996-06-18,1996-06-18
0,0,0,40,0,500,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1996-07-26,1996-07-31,1996-07-31
0,0,0,7500,0,1500,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1996-08-04,1996-08-09,1996-08-09
0,0,0,35,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1996-08-11,1996-08-16,1996-08-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1997-05-05,1997-05-10,1997-05-10
0,0,0,70,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1997-07-31,1997-08-05,1997-08-05
6,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1997-08-27,1997-09-01,1997-09-01
7,0,0,30,294,123,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1998-08-05,1998-08-10,1998-08-10
1,0,0,150,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1998-08-13,1998-08-18,1998-08-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1998-09-22,1998-09-27,1998-09-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1999-07-12,1999-07-17,1999-07-17
13,1,1,560,0,690,0,0,0,0,500000000.0,0,0,0.0,56,0,FLOODS,1999-08-01,1999-08-06,1999-08-06
3,2,0,368,558,1799,0,0,0,0,4125000.0,3,0,450.0,365,0,FLOODS,1999-08-10,1999-08-15,1999-08-15
4,4,0,623,406,4645,250,0,0,0,0.0,1,0,420.0,2203,0,FLOODS,1999-08-17,1999-08-22,1999-08-22
2,0,0,20,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1999-08-23,1999-08-28,1999-08-28
2,0,0,178,675,478,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1999-09-18,1999-09-23,1999-09-23
0,0,0,0,0,0,6490,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2001-06-01,2001-06-06,2001-06-06
0,0,0,560,0,1180,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2001-07-16,2001-07-21,2001-07-21
0,0,0,629,0,1000,0,0,0,0,0.0,0,0,0.0,9,0,FLOODS,2001-07-27,2001-08-01,2001-08-01
1,1,0,0,0,2,2,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2002-08-08,2002-08-13,2002-08-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,2002-08-28,2002-09-02,2002-09-02
