deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,28531000,0,0,0,0,0,STORMS,1961-12-23,1961-12-28,1961-12-28
0,0,0,0,0,0,0,0,0,0,28000000,0,0,0,0,0,STORMS,1962-02-27,1962-03-04,1962-03-04
0,0,0,0,0,0,0,0,0,0,47165000,0,0,0,0,0,STORMS,1964-01-19,1964-01-24,1964-01-24
0,0,0,0,0,0,23524,0,0,0,5129000,0,0,0,0,0,STORMS,1967-01-12,1967-01-17,1967-01-17
2,0,0,0,0,0,0,0,0,0,1783000,0,0,0,0,0,STORMS,1972-02-11,1972-02-16,1972-02-16
9,59,0,0,11320,826258,0,0,0,0,367000000,0,0,0,0,0,STORMS,1975-02-06,1975-02-11,1975-02-11
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,1975-06-14,1975-06-19,1975-06-19
0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,STORMS,1979-12-23,1979-12-28,1979-12-28
0,0,0,0,0,0,0,0,0,0,550000000,0,0,0,0,0,STORMS,1980-01-24,1980-01-29,1980-01-29
1,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,0,STORMS,1980-02-04,1980-02-09,1980-02-09
0,0,0,0,0,0,0,0,0,0,500000000,0,0,0,0,0,STORMS,1980-03-12,1980-03-17,1980-03-17
0,0,0,0,0,0,65,0,0,0,420000000,0,0,0,0,0,STORMS,1981-01-06,1981-01-11,1981-01-11
0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0,0,STORMS,1982-02-06,1982-02-11,1982-02-11
1,30,1,68,0,0,20,0,1,0,0,0,0,0,0,0,STORMS,1983-12-07,1983-12-12,1983-12-12
0,0,0,0,0,0,0,0,0,0,218000000,0,0,0,0,0,STORMS,1983-12-23,1983-12-28,1983-12-28
0,1,0,0,140,0,0,0,0,0,0,0,0,0,0,0,STORMS,1985-01-29,1985-02-03,1985-02-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,1985-04-16,1985-04-21,1985-04-21
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,STORMS,1985-11-29,1985-12-04,1985-12-04
