deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1974-03-24,1974-03-26,1974-03-27
0,0,0,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1988-10-29,1988-10-31,1988-11-01
0,0,0,54,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1993-10-20,1993-10-22,1993-10-23
0,12,0,84,287,0,623,0,0,0,3520700.0,5,0,0.0,0,0,EARTHQUAKES,1994-10-24,1994-10-26,1994-10-27
0,0,0,4,0,0,18,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1995-04-07,1995-04-09,1995-04-10
0,1,0,42,24,0,364,0,0,0,970000.0,0,0,0.0,0,0,EARTHQUAKES,1997-01-05,1997-01-07,1997-01-08
0,0,0,137,36,0,941,0,0,0,1101000.0,0,0,0.0,0,0,EARTHQUAKES,1997-01-31,1997-02-02,1997-02-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1997-02-18,1997-02-20,1997-02-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2001-11-28,2001-11-30,2001-12-01
1,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2003-11-23,2003-11-25,2003-11-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2006-02-21,2006-02-23,2006-02-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2012-01-18,2012-01-20,2012-01-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2012-03-20,2012-03-22,2012-03-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2013-01-30,2013-02-01,2013-02-02
