deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,50,0,3250,50,0,0,0,13000000,0,0,0.0,0,0,FLOODS,1988-07-21,1988-07-26,1988-07-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-07-27,1988-08-01,1988-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-08-11,1988-08-16,1988-08-16
0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,FLOODS,1989-07-04,1989-07-09,1989-07-09
0,0,0,0,0,0,0,0,0,0,0,0,0,1500.0,0,0,FLOODS,1989-08-06,1989-08-11,1989-08-11
0,0,0,0,0,0,0,0,0,0,0,0,0,19042.0,0,0,FLOODS,1990-07-17,1990-07-22,1990-07-22
0,1,0,107,0,225,395,0,0,0,783767530,0,0,553.0,0,0,FLOODS,1990-08-20,1990-08-25,1990-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-08-18,1991-08-23,1991-08-23
0,0,0,45,0,350,45,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-08-24,1991-08-29,1991-08-29
0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,FLOODS,1991-10-01,1991-10-06,1991-10-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-08-21,1992-08-26,1992-08-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-06-29,1993-07-04,1993-07-04
0,0,0,0,0,0,52,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-07-14,1993-07-19,1993-07-19
0,0,0,170,0,2585,0,0,0,0,0,0,0,3725.0,292,0,FLOODS,1994-06-26,1994-07-01,1994-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-08-02,1994-08-07,1994-08-07
3,0,0,0,0,1712,276,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-08-13,1994-08-18,1994-08-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-08-15,1995-08-20,1995-08-20
