deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
3,16,0,12,68,0,98,0,0,0,0,0,0,0.0,12,0,EARTHQUAKES,1981-12-06,1981-12-08,1981-12-09
94,325,0,99,261,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1982-02-01,1982-02-03,1982-02-04
27,274,0,279,165,0,344,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1982-06-26,1982-06-28,1982-06-29
0,15,0,3,38,0,78,0,0,0,0,0,0,0.0,9,0,EARTHQUAKES,1982-12-03,1982-12-05,1982-12-06
67,286,0,199,195,0,768,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1983-01-11,1983-01-13,1983-01-14
37,357,0,156,268,0,432,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1983-08-09,1983-08-11,1983-08-12
57,356,0,124,197,0,679,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1983-10-08,1983-10-10,1983-10-11
4,67,0,147,295,0,0,0,0,0,0,0,0,0.0,53,0,EARTHQUAKES,1983-11-15,1983-11-17,1983-11-18
13,158,0,160,364,0,0,0,0,0,0,1,0,0.0,51,0,EARTHQUAKES,1983-12-04,1983-12-06,1983-12-07
19,326,0,201,327,0,776,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1983-12-22,1983-12-24,1983-12-25
12,39,0,32,90,0,0,0,0,0,0,0,0,0.0,4,0,EARTHQUAKES,1984-06-04,1984-06-06,1984-06-07
11,246,0,187,386,0,548,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1984-12-11,1984-12-13,1984-12-14
24,164,0,197,267,0,0,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1985-01-15,1985-01-17,1985-01-18
29,385,0,113,196,0,722,0,0,0,0,1,0,0.0,7,0,EARTHQUAKES,1985-02-16,1985-02-18,1985-02-19
13,79,0,43,27,0,532,0,0,0,0,0,0,0.0,24,0,EARTHQUAKES,1985-03-28,1985-03-30,1985-03-31
7,34,0,14,76,0,0,0,0,0,0,2,0,0.0,37,0,EARTHQUAKES,1986-04-09,1986-04-11,1986-04-12
13,278,0,38,98,0,247,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1986-05-27,1986-05-29,1986-05-30
88,243,0,218,269,0,426,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1987-11-11,1987-11-13,1987-11-14
56,351,0,193,168,0,457,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1987-12-16,1987-12-18,1987-12-19
2,27,0,3,39,0,543,0,0,0,0,0,0,0.0,0,0,EARTHQUAKES,1988-01-02,1988-01-04,1988-01-05
