deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,2,0,1,2,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-02-09,1981-02-14,1981-02-14
1,16,0,21,66,0,347,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-02-15,1981-02-20,1981-02-20
14,106,0,70,54,0,107,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-04-02,1981-04-07,1981-04-07
5,15,0,19,48,0,245,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-04-16,1981-04-21,1981-04-21
8,19,0,73,0,0,36,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-01,1981-05-06,1981-05-06
3,21,0,20,45,0,985,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-13,1981-05-18,1981-05-18
2,13,0,17,73,0,547,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-25,1981-05-30,1981-05-30
26,49,0,15,38,0,1436,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-06-02,1981-06-07,1981-06-07
19,53,0,84,98,0,1658,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-07-16,1981-07-21,1981-07-21
8,47,0,48,10,0,862,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-08-04,1981-08-09,1981-08-09
9,34,4,25,64,0,5311,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-08-16,1981-08-21,1981-08-21
19,38,0,17,58,0,1467,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-09-27,1981-10-02,1981-10-02
7,1,0,6,7,0,647,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-10-23,1981-10-28,1981-10-28
14,75,0,73,122,0,4437,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-11-26,1981-12-01,1981-12-01
7,18,0,19,78,0,356,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-01-11,1982-01-16,1982-01-16
5,22,0,17,96,0,358,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-03-13,1982-03-18,1982-03-18
0,0,0,3,3,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-04-15,1982-04-20,1982-04-20
0,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-04-23,1982-04-28,1982-04-28
17,124,0,109,65,0,604,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-05-01,1982-05-06,1982-05-06
6,14,0,28,75,0,468,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-05-09,1982-05-14,1982-05-14
5,9,0,34,55,0,353,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-05-25,1982-05-30,1982-05-30
22,123,0,170,0,0,150,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-06-04,1982-06-09,1982-06-09
18,103,0,93,196,0,2093,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-07-04,1982-07-09,1982-07-09
5,28,0,25,24,0,89,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-07-25,1982-07-30,1982-07-30
22,129,0,156,109,0,2174,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-08-11,1982-08-16,1982-08-16
16,18,0,16,23,0,1104,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-08-26,1982-08-31,1982-08-31
6,12,0,54,0,0,19,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-09-18,1982-09-23,1982-09-23
6,40,0,11,18,0,68,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-09-27,1982-10-02,1982-10-02
4,9,0,7,4,0,363,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-10-05,1982-10-10,1982-10-10
2,14,0,31,86,0,689,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-10-15,1982-10-20,1982-10-20
3,28,0,89,37,0,685,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-01-01,1983-01-06,1983-01-06
6,49,0,8,0,0,187,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-01-15,1983-01-20,1983-01-20
0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-03-09,1983-03-14,1983-03-14
4,29,0,54,18,0,247,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-03-23,1983-03-28,1983-03-28
13,78,0,132,20,0,754,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-04-05,1983-04-10,1983-04-10
