deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1981-02-21,1981-02-26,1981-02-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,0,STORMS,1981-03-05,1981-03-10,1981-03-10
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,STORMS,1981-03-25,1981-03-30,1981-03-30
0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1981-10-03,1981-10-08,1981-10-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,0,STORMS,1982-08-03,1982-08-08,1982-08-08
0,8,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1982-09-12,1982-09-17,1982-09-17
0,14,0,0,3,0,0,0,0,0,0,0,0,0.0,2,0,STORMS,1985-06-26,1985-07-01,1985-07-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,STORMS,1985-09-02,1985-09-07,1985-09-07
0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1986-03-15,1986-03-20,1986-03-20
0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1986-04-18,1986-04-23,1986-04-23
0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,1987-02-05,1987-02-10,1987-02-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,STORMS,1987-04-02,1987-04-07,1987-04-07
2,5,0,0,2,0,0,0,0,0,0,0,0,0.0,4,0,STORMS,1987-07-01,1987-07-06,1987-07-06
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1988-02-25,1988-03-01,1988-03-01
0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1988-09-19,1988-09-24,1988-09-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,1990-03-02,1990-03-07,1990-03-07
1,8,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1990-06-11,1990-06-16,1990-06-16
0,3,0,0,4,0,0,0,0,0,0,0,0,0.0,7,0,STORMS,1992-03-06,1992-03-11,1992-03-11
6,7,0,0,0,0,258,0,0,0,0,0,0,0.0,0,0,STORMS,1992-04-09,1992-04-14,1992-04-14
0,9,0,2,7,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1992-06-18,1992-06-23,1992-06-23
4,3,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1992-07-02,1992-07-07,1992-07-07
4,12,0,2,4,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1992-07-21,1992-07-26,1992-07-26
12,0,0,0,3,0,0,0,0,0,0,0,0,0.0,4,0,STORMS,1993-03-12,1993-03-17,1993-03-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,1994-03-27,1994-04-01,1994-04-01
0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,STORMS,1994-04-02,1994-04-07,1994-04-07
0,5,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1995-06-06,1995-06-11,1995-06-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,STORMS,1996-02-28,1996-03-04,1996-03-04
3,6,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1996-06-19,1996-06-24,1996-06-24
0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1997-10-08,1997-10-13,1997-10-13
2,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1998-02-10,1998-02-15,1998-02-15
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1999-03-01,1999-03-06,1999-03-06
0,8,0,0,4,0,37,0,0,0,0,1,0,0.0,0,0,STORMS,2000-01-26,2000-01-31,2000-01-31
0,66,0,1,8,0,218,0,0,0,0,0,0,0.0,5,0,STORMS,2000-02-03,2000-02-08,2000-02-08
11,84,0,33,55,0,6548,0,0,0,0,6,1,0.0,2,0,STORMS,2000-02-14,2000-02-19,2000-02-19
