deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-06-04,1979-06-09,1979-06-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-08-07,1979-08-12,1979-08-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-10-15,1979-10-20,1979-10-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-05-10,1980-05-15,1980-05-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-08-16,1980-08-21,1980-08-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-08-01,1981-08-06,1981-08-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-09-03,1981-09-08,1981-09-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-06-01,1984-06-06,1984-06-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-08-01,1984-08-06,1984-08-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-09-24,1984-09-29,1984-09-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-10-15,1984-10-20,1984-10-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-11-01,1984-11-06,1984-11-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1985-07-29,1985-08-03,1985-08-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-01-20,1986-01-25,1986-01-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-07-28,1986-08-02,1986-08-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-10-07,1986-10-12,1986-10-12
3,0,0,1300,0,6000,4000,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-10-14,1986-10-19,1986-10-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1987-02-09,1987-02-14,1987-02-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1987-08-10,1987-08-15,1987-08-15
3,0,0,0,240,0,0,0,1200,0,0,0,0,1500.0,0,0,FLOODS,1988-01-30,1988-02-04,1988-02-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-10-17,1988-10-22,1988-10-22
0,0,0,120,117,600,585,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-10-31,1988-11-05,1988-11-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1989-07-28,1989-08-02,1989-08-02
0,0,2,150,0,750,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1989-08-04,1989-08-09,1989-08-09
0,0,0,0,70,0,350,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-05-15,1990-05-20,1990-05-20
0,0,0,3,35,15,175,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-06-09,1990-06-14,1990-06-14
0,0,0,0,15,0,75,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-07-05,1990-07-10,1990-07-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-07-15,1990-07-20,1990-07-20
0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,FLOODS,1990-08-13,1990-08-18,1990-08-18
0,0,0,0,400,0,2000,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-10-15,1990-10-20,1990-10-20
0,0,0,0,40,0,200,0,0,0,0,0,0,80.0,0,0,FLOODS,1990-10-22,1990-10-27,1990-10-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-10-31,1990-11-05,1990-11-05
5,0,6,45,47,281,235,0,170,0,0,0,0,0.0,0,0,FLOODS,1990-11-06,1990-11-11,1990-11-11
0,0,0,0,0,200,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-11-22,1990-11-27,1990-11-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-12-30,1991-01-04,1991-01-04
0,0,0,0,25,0,125,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-05-02,1991-05-07,1991-05-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-05-18,1991-05-23,1991-05-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-07-22,1991-07-27,1991-07-27
0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-07-31,1991-08-05,1991-08-05
7,0,0,163,407,195,2035,0,1701,0,0,0,0,0.0,0,450,FLOODS,1991-08-13,1991-08-18,1991-08-18
0,0,0,0,250,2000,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-09-15,1991-09-20,1991-09-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-11-25,1991-11-30,1991-11-30
0,0,0,16,30,81,0,0,150,0,0,0,0,0.0,0,0,FLOODS,1992-04-27,1992-05-02,1992-05-02
0,0,0,0,5,0,25,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-06-30,1992-07-05,1992-07-05
0,0,0,0,36,0,180,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-08-26,1992-08-31,1992-08-31
0,0,0,32,0,60,35,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-09-06,1992-09-11,1992-09-11
0,0,0,0,0,300,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-10-02,1992-10-07,1992-10-07
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-02-22,1993-02-27,1993-02-27
0,2,0,0,0,0,60,0,60,0,200000,0,0,100.0,0,0,FLOODS,1993-03-13,1993-03-18,1993-03-18
1,0,0,0,125,0,250,0,120,0,0,0,0,0.0,0,0,FLOODS,1993-04-27,1993-05-02,1993-05-02
0,0,0,0,8,0,20,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-05-22,1993-05-27,1993-05-27
0,0,0,20,0,100,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-06-20,1993-06-25,1993-06-25
4,1,0,901,1697,4500,5700,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-07-01,1993-07-06,1993-07-06
0,1,0,1,280,1,0,0,0,10150,0,0,0,0.0,0,0,FLOODS,1993-07-12,1993-07-17,1993-07-17
0,0,0,0,6,0,30,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-09-08,1993-09-13,1993-09-13
0,0,0,0,6,0,22,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-09-21,1993-09-26,1993-09-26
0,2,0,0,25,0,125,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-10-06,1993-10-11,1993-10-11
0,0,0,0,27,0,135,0,0,0,0,2,0,0.0,0,0,FLOODS,1993-11-12,1993-11-17,1993-11-17
4,0,4,2,0,12,35,0,35,0,1,0,0,0.0,0,0,FLOODS,1993-12-11,1993-12-16,1993-12-16
0,0,0,20,8,100,40,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-05-26,1994-05-31,1994-05-31
0,0,0,30,0,250,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-07-05,1994-07-10,1994-07-10
0,0,0,0,0,0,0,0,43,0,0,0,0,0.0,0,0,FLOODS,1994-08-24,1994-08-29,1994-08-29
0,0,0,18,18,155,75,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-09-14,1994-09-19,1994-09-19
7,0,0,0,1019,1,3366,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-09-20,1994-09-25,1994-09-25
0,0,0,5,106,79,370,0,13,0,0,0,0,369.0,0,0,FLOODS,1994-09-28,1994-10-03,1994-10-03
0,23,0,5,240,375,700,0,0,0,0,0,0,0.0,0,150,FLOODS,1994-10-08,1994-10-13,1994-10-13
0,0,0,104,0,505,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-10-17,1994-10-22,1994-10-22
0,0,0,0,168,440,475,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-10-25,1994-10-30,1994-10-30
2,0,0,101,240,505,1300,0,30,0,0,0,0,300.0,0,0,FLOODS,1994-11-01,1994-11-06,1994-11-06
2,0,0,0,9,40,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-11-07,1994-11-12,1994-11-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-05-08,1995-05-13,1995-05-13
2,0,0,47,144,310,275,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-05-15,1995-05-20,1995-05-20
0,0,0,0,32,0,124,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-06-06,1995-06-11,1995-06-11
0,0,0,9,11,115,36,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-06-13,1995-06-18,1995-06-18
0,0,1,7,40,201,176,0,500,32600,32602,0,0,47.0,0,0,FLOODS,1995-06-19,1995-06-24,1995-06-24
2,0,0,0,0,0,0,0,100,0,0,0,0,0.0,0,0,FLOODS,1995-06-25,1995-06-30,1995-06-30
0,0,4,104,1060,2829,3300,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-07-27,1995-08-01,1995-08-01
0,0,0,0,36,80,79,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-08-08,1995-08-13,1995-08-13
2,0,0,11,664,860,1046,0,341,0,100000,0,0,38.0,0,0,FLOODS,1995-08-14,1995-08-19,1995-08-19
0,0,0,0,0,0,0,0,80,0,0,0,0,0.0,0,0,FLOODS,1995-08-20,1995-08-25,1995-08-25
0,0,0,3,50,14,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-08-28,1995-09-02,1995-09-02
0,16,0,600,6746,2000,27270,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-09-18,1995-09-23,1995-09-23
0,0,0,0,0,0,6000,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-09-29,1995-10-04,1995-10-04
2,0,0,4,101,25,400,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-10-11,1995-10-16,1995-10-16
0,0,0,70,300,0,500,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-10-17,1995-10-22,1995-10-22
0,0,0,0,666,0,2400,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-11-08,1995-11-13,1995-11-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-12-14,1995-12-19,1995-12-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-12-29,1996-01-03,1996-01-03
2,0,0,58,161,1025,295,0,250,290000,88500,0,0,0.0,0,0,FLOODS,1996-01-14,1996-01-19,1996-01-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-02-15,1996-02-20,1996-02-20
0,0,0,0,12,0,60,0,0,0,18000,0,0,120.0,0,0,FLOODS,1996-03-11,1996-03-16,1996-03-16
0,0,0,4,327,10,1649,0,0,0,217000,0,0,0.0,0,0,FLOODS,1996-05-20,1996-05-25,1996-05-25
0,0,0,0,3,0,8,0,0,0,4500,0,0,0.0,0,0,FLOODS,1996-06-06,1996-06-11,1996-06-11
0,0,0,2,90,0,398,0,0,0,2000000,0,0,0.0,0,0,FLOODS,1996-06-16,1996-06-21,1996-06-21
0,0,0,0,2062,10000,1696,0,0,0,93000,0,0,0.0,0,0,FLOODS,1996-07-01,1996-07-06,1996-07-06
0,0,0,6,79,397,4,0,0,0,36000,0,0,1800000.0,0,0,FLOODS,1996-07-29,1996-08-03,1996-08-03
0,0,0,0,25,0,34,0,0,0,37500,0,0,0.0,0,0,FLOODS,1996-08-06,1996-08-11,1996-08-11
0,0,0,0,69,330,20,0,0,0,6000,0,0,0.0,0,0,FLOODS,1996-08-23,1996-08-28,1996-08-28
0,0,0,0,15,0,75,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-09-05,1996-09-10,1996-09-10
0,0,0,4,60,22,168,0,165,0,1500,0,0,11.0,0,0,FLOODS,1996-09-13,1996-09-18,1996-09-18
0,0,0,0,43,0,194,0,0,0,39000,0,0,0.0,0,0,FLOODS,1996-09-24,1996-09-29,1996-09-29
0,0,0,0,6,0,26,0,0,0,9000,0,0,0.0,0,0,FLOODS,1996-10-02,1996-10-07,1996-10-07
0,0,0,0,169,300,228,0,0,0,126000,0,0,0.0,0,0,FLOODS,1996-10-11,1996-10-16,1996-10-16
0,0,0,0,0,0,0,0,0,0,300,0,0,300.0,0,0,FLOODS,1996-10-22,1996-10-27,1996-10-27
0,0,2,6,183,30,1054,0,0,0,123000,0,0,0.0,0,0,FLOODS,1996-10-28,1996-11-02,1996-11-02
0,0,0,15,535,75,2976,0,0,0,877500,0,0,162.0,0,0,FLOODS,1996-11-27,1996-12-02,1996-12-02
0,0,0,0,7,0,3,0,0,0,84500,0,0,32.0,14,0,FLOODS,1996-12-11,1996-12-16,1996-12-16
0,0,0,2,190,22,1390,0,50,0,295000,0,0,0.0,0,0,FLOODS,1996-12-17,1996-12-22,1996-12-22
0,0,2,6,0,28,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-12-23,1996-12-28,1996-12-28
0,0,0,1,0,15,0,0,0,0,5000,0,0,0.0,0,0,FLOODS,1997-02-25,1997-03-02,1997-03-02
0,0,0,0,21,0,231,0,0,0,31500,0,0,0.0,0,0,FLOODS,1997-06-04,1997-06-09,1997-06-09
0,0,0,0,41,0,205,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-06-15,1997-06-20,1997-06-20
0,0,0,0,2,0,28,0,0,0,3000,0,0,0.0,0,0,FLOODS,1997-06-22,1997-06-27,1997-06-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-07-02,1997-07-07,1997-07-07
0,0,0,0,11,0,4032,0,0,0,16500,0,0,0.0,0,0,FLOODS,1997-07-31,1997-08-05,1997-08-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-08-12,1997-08-17,1997-08-17
0,0,0,0,15,0,75,0,0,18000,4500,0,0,0.0,0,0,FLOODS,1997-08-21,1997-08-26,1997-08-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-08-31,1997-09-05,1997-09-05
0,0,0,0,2,0,4,0,0,0,3000,0,0,0.0,0,0,FLOODS,1997-09-10,1997-09-15,1997-09-15
0,0,0,0,19,0,94,0,0,0,28500,0,0,0.0,0,0,FLOODS,1997-09-17,1997-09-22,1997-09-22
0,0,0,0,72,0,355,0,0,12000,6000,0,0,0.0,0,0,FLOODS,1997-09-23,1997-09-28,1997-09-28
0,0,0,6,396,24,1864,0,0,0,539000,0,0,0.0,0,0,FLOODS,1997-10-01,1997-10-06,1997-10-06
0,0,0,2,9,7,43,0,0,0,23500,0,0,0.0,0,0,FLOODS,1997-10-08,1997-10-13,1997-10-13
0,0,0,0,68,0,434,0,0,0,102000,0,0,0.0,0,0,FLOODS,1997-10-15,1997-10-20,1997-10-20
0,0,0,0,27,0,137,0,0,0,40500,0,0,0.0,0,0,FLOODS,1997-11-04,1997-11-09,1997-11-09
0,0,0,0,28,0,151,0,0,0,42000,0,0,0.0,0,0,FLOODS,1997-11-13,1997-11-18,1997-11-18
1,0,0,3,31,10,137,0,0,0,61500,0,0,1.0,0,0,FLOODS,1997-11-21,1997-11-26,1997-11-26
0,0,0,0,27,0,142,0,0,40500,0,0,0,0.0,0,0,FLOODS,1998-04-25,1998-04-30,1998-04-30
0,0,0,0,1,0,5,0,0,1500,1500,0,0,0.0,0,0,FLOODS,1998-05-03,1998-05-08,1998-05-08
0,0,0,0,19,0,67,0,0,28500,0,0,0,0.0,0,0,FLOODS,1998-05-23,1998-05-28,1998-05-28
0,0,0,0,4,0,16,0,0,6000,0,0,0,0.0,0,0,FLOODS,1998-06-08,1998-06-13,1998-06-13
0,0,0,0,15,0,57,0,0,22500,0,0,0,0.0,0,0,FLOODS,1998-06-14,1998-06-19,1998-06-19
0,0,0,0,37,0,174,0,0,150000,0,0,0,0.0,0,0,FLOODS,1998-06-27,1998-07-02,1998-07-02
0,0,0,0,257,0,1313,0,0,507000,0,0,0,0.0,0,0,FLOODS,1998-07-12,1998-07-17,1998-07-17
0,0,0,0,26,0,115,0,0,39000,0,0,0,0.0,0,0,FLOODS,1998-07-27,1998-08-01,1998-08-01
0,0,0,0,15,0,20,0,0,22500,22500,0,0,0.0,0,0,FLOODS,1998-08-06,1998-08-11,1998-08-11
1,0,0,0,32,0,168,0,0,48000,48000,0,0,0.0,0,0,FLOODS,1998-08-17,1998-08-22,1998-08-22
0,0,0,0,8,0,27,0,0,12000,0,0,0,0.0,0,0,FLOODS,1998-08-24,1998-08-29,1998-08-29
0,0,0,0,111,0,555,0,0,166500,0,0,0,0.0,0,0,FLOODS,1998-09-03,1998-09-08,1998-09-08
0,0,0,1,25,7,100,0,0,42500,0,0,0,0.0,0,0,FLOODS,1998-09-12,1998-09-17,1998-09-17
0,0,0,0,149,0,723,0,0,217500,0,0,0,0.0,0,0,FLOODS,1998-09-21,1998-09-26,1998-09-26
0,0,0,0,36,0,200,0,0,54000,0,0,0,0.0,0,0,FLOODS,1998-09-28,1998-10-03,1998-10-03
0,0,0,0,71,0,388,0,0,52500,0,0,0,0.0,0,0,FLOODS,1998-10-05,1998-10-10,1998-10-10
0,0,0,0,29,0,147,0,0,36000,0,0,0,0.0,0,0,FLOODS,1998-10-11,1998-10-16,1998-10-16
0,0,0,30,234,100,1076,0,0,351000,0,0,0,0.0,0,0,FLOODS,1998-10-18,1998-10-23,1998-10-23
0,0,0,3,1724,75,8463,0,0,8532500,0,0,0,0.0,0,0,FLOODS,1998-10-24,1998-10-29,1998-10-29
2,0,0,3,406,12,1915,0,0,310500,0,0,0,0.0,0,0,FLOODS,1998-11-03,1998-11-08,1998-11-08
0,0,0,1,11,2,60,0,0,21500,0,0,0,0.0,0,0,FLOODS,1998-11-13,1998-11-18,1998-11-18
0,0,0,0,3,0,15,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-11-20,1998-11-25,1998-11-25
0,0,0,8,85,45,142,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-12-06,1998-12-11,1998-12-11
0,0,0,4,118,20,938,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-12-16,1998-12-21,1998-12-21
0,0,0,110,67,550,335,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-12-23,1998-12-28,1998-12-28
0,0,0,0,0,0,200,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-03-17,1999-03-22,1999-03-22
0,0,0,0,77,0,353,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-05-08,1999-05-13,1999-05-13
0,0,0,1,4,3,31,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-05-16,1999-05-21,1999-05-21
0,0,0,0,16,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-06-12,1999-06-17,1999-06-17
0,0,0,8,60,37,335,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-06-19,1999-06-24,1999-06-24
0,0,0,0,10,0,59,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-08-03,1999-08-08,1999-08-08
0,0,0,1,50,3,202,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-08-12,1999-08-17,1999-08-17
0,0,0,0,3,0,18,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-08-23,1999-08-28,1999-08-28
0,0,0,0,59,0,273,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-08-31,1999-09-05,1999-09-05
0,0,0,0,149,0,670,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-09-22,1999-09-27,1999-09-27
0,0,0,1,93,5,469,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-09-28,1999-10-03,1999-10-03
0,0,0,0,25,0,132,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-10-04,1999-10-09,1999-10-09
0,0,0,3,24,12,116,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-10-15,1999-10-20,1999-10-20
0,0,0,1,85,0,412,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-10-21,1999-10-26,1999-10-26
0,0,0,1,3,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-10-28,1999-11-02,1999-11-02
0,0,0,2,39,9,203,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-11-07,1999-11-12,1999-11-12
0,0,0,0,55,0,121,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-11-13,1999-11-18,1999-11-18
0,0,0,0,200,0,1200,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-12-05,1999-12-10,1999-12-10
0,0,0,0,574,0,2587,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-12-19,1999-12-24,1999-12-24
0,0,0,1,1022,5,5121,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-01-10,2000-01-15,2000-01-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,40,FLOODS,2000-03-09,2000-03-14,2000-03-14
0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-05-06,2000-05-11,2000-05-11
0,0,0,0,6,0,30,0,14,0,0,0,0,0.0,0,0,FLOODS,2000-05-18,2000-05-23,2000-05-23
0,0,0,0,10,0,52,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-05-27,2000-06-01,2000-06-01
0,0,0,1,16,7,322,0,55,0,0,0,0,243.0,0,0,FLOODS,2000-06-12,2000-06-17,2000-06-17
0,0,0,0,4,0,20,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-06-21,2000-06-26,2000-06-26
0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-07-06,2000-07-11,2000-07-11
0,0,0,0,15,0,75,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-07-27,2000-08-01,2000-08-01
0,0,0,0,13,0,63,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-08-04,2000-08-09,2000-08-09
0,0,0,0,1,0,5,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-08-24,2000-08-29,2000-08-29
0,0,0,0,3,0,15,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-08-31,2000-09-05,2000-09-05
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-09-11,2000-09-16,2000-09-16
0,0,0,1,27,6,139,0,0,0,0,0,0,0.0,0,43,FLOODS,2000-09-20,2000-09-25,2000-09-25
0,0,0,0,29,0,110,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-09-27,2000-10-02,2000-10-02
0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-10-20,2000-10-25,2000-10-25
0,0,0,0,4,0,20,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-11-01,2000-11-06,2000-11-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-11-09,2000-11-14,2000-11-14
0,0,0,0,3,0,10,0,9,0,0,0,0,0.0,0,0,FLOODS,2000-11-19,2000-11-24,2000-11-24
0,0,0,0,4,0,20,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-12-09,2000-12-14,2000-12-14
0,0,0,0,134,0,761,0,44,0,0,0,0,0.0,0,0,FLOODS,2000-12-28,2001-01-02,2001-01-02
0,0,0,0,196,0,1268,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-05-02,2001-05-07,2001-05-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-05-15,2001-05-20,2001-05-20
0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-05-26,2001-05-31,2001-05-31
0,0,0,1,114,5,581,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-06-04,2001-06-09,2001-06-09
