deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,STORMS,1991-10-05,1991-10-10,1991-10-10
0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,STORMS,1993-03-09,1993-03-14,1993-03-14
2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-04-20,1997-04-25,1997-04-25
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-09-05,1997-09-10,1997-09-10
1,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,STORMS,1997-10-23,1997-10-28,1997-10-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2001-10-01,2001-10-06,2001-10-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2002-10-17,2002-10-22,2002-10-22
0,0,0,52,140,0,0,0,0,0,0,0,0,0,0,0,STORMS,2002-10-25,2002-10-30,2002-10-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2010-09-13,2010-09-18,2010-09-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2016-04-26,2016-05-01,2016-05-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2016-11-08,2016-11-13,2016-11-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STORMS,2017-10-09,2017-10-14,2017-10-14
