deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2006-06-15,2006-06-20,2006-06-20
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2006-09-16,2006-09-21,2006-09-21
3,4,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-07-31,2007-08-05,2007-08-05
2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-08-06,2007-08-11,2007-08-11
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-09-16,2007-09-21,2007-09-21
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2008-06-27,2008-07-02,2008-07-02
5,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2009-08-29,2009-09-03,2009-09-03
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2009-09-26,2009-10-01,2009-10-01
0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2010-07-17,2010-07-22,2010-07-22
4,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2010-08-31,2010-09-05,2010-09-05
0,6,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2010-09-23,2010-09-28,2010-09-28
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2011-07-02,2011-07-07,2011-07-07
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2011-07-18,2011-07-23,2011-07-23
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2011-08-16,2011-08-21,2011-08-21
2,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2011-09-11,2011-09-16,2011-09-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,2012-08-28,2012-09-02,2012-09-02
2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2012-09-10,2012-09-15,2012-09-15
1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2012-09-23,2012-09-28,2012-09-28
2,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-06-01,2013-06-06,2013-06-06
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-06-30,2013-07-05,2013-07-05
1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-08-09,2013-08-14,2013-08-14
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-08-19,2013-08-24,2013-08-24
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-08-26,2013-08-31,2013-08-31
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-09-12,2013-09-17,2013-09-17
4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2013-09-22,2013-09-27,2013-09-27
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-05-19,2014-05-24,2014-05-24
0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-05-25,2014-05-30,2014-05-30
1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-06-09,2014-06-14,2014-06-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-06-29,2014-07-04,2014-07-04
2,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-07-29,2014-08-03,2014-08-03
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-08-04,2014-08-09,2014-08-09
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-08-14,2014-08-19,2014-08-19
5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-08-22,2014-08-27,2014-08-27
6,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,2014-09-03,2014-09-08,2014-09-08
12,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-09-09,2014-09-14,2014-09-14
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2014-09-21,2014-09-26,2014-09-26
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,STORMS,2014-09-28,2014-10-03,2014-10-03
