deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2009-08-19,2009-08-24,2009-08-24
1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2009-08-29,2009-09-03,2009-09-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2009-09-09,2009-09-14,2009-09-14
1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2009-09-18,2009-09-23,2009-09-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2009-10-08,2009-10-13,2009-10-13
0,0,0,35,0,0,300,0,0,0,0,0,0,0,0,0,FLOODS,2010-07-24,2010-07-29,2010-07-29
0,0,0,10,0,0,210,0,0,0,0,0,0,0,0,0,FLOODS,2010-08-23,2010-08-28,2010-08-28
0,0,0,100,0,0,437,0,0,0,0,0,0,0,0,0,FLOODS,2011-07-30,2011-08-04,2011-08-04
4,0,0,18,0,0,250,0,0,0,0,0,0,0,0,0,FLOODS,2011-10-08,2011-10-13,2011-10-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2012-07-08,2012-07-13,2012-07-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2012-07-15,2012-07-20,2012-07-20
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2012-08-30,2012-09-04,2012-09-04
1,1,0,12,0,56,168,0,0,0,0,0,0,0,0,0,FLOODS,2013-01-08,2013-01-13,2013-01-13
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-03-09,2013-03-14,2013-03-14
0,1,0,18,0,100,300,0,0,0,0,0,0,0,0,0,FLOODS,2013-05-28,2013-06-02,2013-06-02
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-07-16,2013-07-21,2013-07-21
6,7,0,3,0,11,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-07-28,2013-08-02,2013-08-02
7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-08-08,2013-08-13,2013-08-13
2,13,0,30,0,143,543,0,0,0,0,0,0,0,0,0,FLOODS,2013-08-17,2013-08-22,2013-08-22
0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-08-29,2013-09-03,2013-09-03
2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-11-14,2013-11-19,2013-11-19
0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,FLOODS,2013-12-27,2014-01-01,2014-01-01
2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,FLOODS,2014-01-10,2014-01-15,2014-01-15
2,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,FLOODS,2014-04-27,2014-05-02,2014-05-02
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,FLOODS,2014-09-17,2014-09-22,2014-09-22
