deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,120,240,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1991-01-05,1991-01-10,1991-01-10
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1991-02-06,1991-02-11,1991-02-11
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-01-18,1992-01-23,1992-01-23
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-01-26,1992-01-31,1992-01-31
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-02-15,1992-02-20,1992-02-20
0,0,0,0,0,0,0,0,0,0.0,1750000.0,0,0,0.0,0,0.0,STORMS,1992-02-25,1992-03-01,1992-03-01
0,0,0,0,0,80,160,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1993-01-12,1993-01-17,1993-01-17
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1993-05-11,1993-05-16,1993-05-16
0,0,0,0,0,160,320,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1994-01-07,1994-01-12,1994-01-12
6,6,0,0,7,12,100,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1994-11-16,1994-11-21,1994-11-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1995-01-17,1995-01-22,1995-01-22
6,0,0,0,0,0,30,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1995-05-03,1995-05-08,1995-05-08
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1995-07-23,1995-07-28,1995-07-28
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1995-09-06,1995-09-11,1995-09-11
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,100.0,0,0.0,STORMS,1996-05-15,1996-05-20,1996-05-20
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1996-05-22,1996-05-27,1996-05-27
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1996-07-05,1996-07-10,1996-07-10
3,5,0,15,12,8,0,0,0,0.0,0.0,0,0,344.0,66,0.0,STORMS,1996-12-05,1996-12-10,1996-12-10
0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1997-09-07,1997-09-12,1997-09-12
0,0,0,0,0,120,240,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1998-01-09,1998-01-14,1998-01-14
0,0,0,1,4,200,400,0,0,0.0,1000000.0,0,0,23.0,0,0.0,STORMS,2000-02-03,2000-02-08,2000-02-08
0,0,0,0,0,0,0,0,0,0.0,1172400.0,0,0,1000.0,0,0.0,STORMS,2000-05-15,2000-05-20,2000-05-20
0,0,0,0,0,0,309,0,0,0.0,0.0,0,0,21.0,0,0.0,STORMS,2000-09-15,2000-09-20,2000-09-20
0,0,0,0,0,0,664,0,0,0.0,0.0,0,0,629.0,0,0.0,STORMS,2000-11-17,2000-11-22,2000-11-22
0,0,0,0,0,0,14,0,0,0.0,16000.0,0,0,0.0,0,0.0,STORMS,2001-04-07,2001-04-12,2001-04-12
0,0,0,0,0,0,10,0,0,0.0,278000.0,0,0,5.0,0,0.0,STORMS,2002-11-03,2002-11-08,2002-11-08
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2003-01-14,2003-01-19,2003-01-19
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,24.0,0,0.0,STORMS,2004-01-29,2004-02-03,2004-02-03
0,0,0,0,3,15,37,0,0,0.0,90000.0,1,1,106.0,0,0.0,STORMS,2004-02-22,2004-02-27,2004-02-27
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2004-03-01,2004-03-06,2004-03-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1.0,0,0.0,STORMS,2004-03-10,2004-03-15,2004-03-15
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,350.0,0,0.0,STORMS,2004-03-19,2004-03-24,2004-03-24
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,270.0,0,0.0,STORMS,2004-03-27,2004-04-01,2004-04-01
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,135.0,0,0.0,STORMS,2004-04-05,2004-04-10,2004-04-10
0,0,0,0,0,40,80,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2005-01-14,2005-01-19,2005-01-19
0,0,0,0,90,15,435,0,0,0.0,0.0,1,1,300.0,0,0.0,STORMS,2005-01-24,2005-01-29,2005-01-29
0,0,0,0,0,0,11,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2005-04-07,2005-04-12,2005-04-12
0,0,0,0,6,0,24,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2006-11-30,2006-12-05,2006-12-05
0,0,0,0,0,120,240,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2007-01-03,2007-01-08,2007-01-08
0,0,0,0,0,0,468,0,0,0.0,0.0,0,0,1451.0,0,0.0,STORMS,2007-04-29,2007-05-04,2007-05-04
0,0,0,0,0,0,99,0,0,0.0,8994000.0,0,0,26.0,0,0.0,STORMS,2008-01-28,2008-02-02,2008-02-02
0,0,0,0,0,40,80,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2008-02-04,2008-02-09,2008-02-09
