deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1968-06-12,1968-06-17,1968-06-17
0,7,0,0,0,0,7,0,0,7500,15000.0,0,0,0,0,0,STORMS,1968-07-03,1968-07-08,1968-07-08
0,0,0,0,0,8,8,0,0,0,0.0,0,0,0,0,0,STORMS,1969-07-15,1969-07-20,1969-07-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1971-03-11,1971-03-16,1971-03-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1971-07-31,1971-08-05,1971-08-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1973-05-19,1973-05-24,1973-05-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1973-05-27,1973-06-01,1973-06-01
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1973-07-30,1973-08-04,1973-08-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1973-08-27,1973-09-01,1973-09-01
2,0,0,0,0,2,0,0,0,2717391,5000000.0,0,0,0,0,0,STORMS,1974-08-15,1974-08-20,1974-08-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1975-07-24,1975-07-29,1975-07-29
0,0,0,0,4,0,0,0,0,160,400.0,0,0,0,0,0,STORMS,1975-09-02,1975-09-07,1975-09-07
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1975-11-12,1975-11-17,1975-11-17
0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1976-01-14,1976-01-19,1976-01-19
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1976-08-01,1976-08-06,1976-08-06
1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,STORMS,1976-08-23,1976-08-28,1976-08-28
1,0,0,0,0,0,14000,0,0,400000,1000000.0,0,0,0,0,0,STORMS,1977-10-16,1977-10-21,1977-10-21
0,0,0,0,30,0,0,0,0,100000,2500000.0,0,0,0,0,0,STORMS,1978-05-09,1978-05-14,1978-05-14
0,0,0,0,0,0,0,0,0,200000,500000.0,0,0,0,0,0,STORMS,1978-08-16,1978-08-21,1978-08-21
0,0,0,0,14,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1978-08-22,1978-08-27,1978-08-27
0,0,0,1,12,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1980-07-17,1980-07-22,1980-07-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1980-11-28,1980-12-03,1980-12-03
0,0,0,0,0,0,0,0,0,85,0.0,0,0,0,0,0,STORMS,1981-04-13,1981-04-18,1981-04-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1981-09-28,1981-10-03,1981-10-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1987-02-17,1987-02-22,1987-02-22
0,0,0,0,0,0,0,0,0,333,0.0,0,0,0,0,0,STORMS,1987-07-07,1987-07-12,1987-07-12
0,0,0,0,0,0,0,0,0,840,0.0,0,0,0,0,0,STORMS,1990-07-26,1990-07-31,1990-07-31
0,0,0,0,20,0,0,6,0,25,0.0,0,0,0,0,0,STORMS,1990-08-20,1990-08-25,1990-08-25
0,0,0,0,0,0,0,0,0,16,0.0,0,0,0,0,0,STORMS,1992-06-21,1992-06-26,1992-06-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1992-08-27,1992-09-01,1992-09-01
0,0,0,0,0,0,0,0,0,4200,25000.0,0,0,0,0,0,STORMS,1993-07-19,1993-07-24,1993-07-24
0,0,0,0,0,0,100,0,0,600000,4.0,0,0,14000,0,0,STORMS,1993-08-08,1993-08-13,1993-08-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1996-09-18,1996-09-23,1996-09-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1997-07-09,1997-07-14,1997-07-14
0,0,0,0,12,0,0,0,0,9524,60000.0,0,0,0,0,0,STORMS,1997-09-29,1997-10-04,1997-10-04
0,0,0,0,0,0,0,0,0,3175,20000.0,0,0,0,0,0,STORMS,1998-07-27,1998-08-01,1998-08-01
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1998-09-14,1998-09-19,1998-09-19
0,0,0,2,3,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,1999-08-07,1999-08-12,1999-08-12
0,0,0,0,2,0,0,0,0,0,0.0,1,0,0,0,0,STORMS,1999-09-23,1999-09-28,1999-09-28
0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,2000-04-17,2000-04-22,2000-04-22
0,0,0,15,25,0,0,0,0,0,0.0,0,0,0,0,0,STORMS,2000-09-22,2000-09-27,2000-09-27
