deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1985-08-06,1985-08-08,1985-08-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1988-02-18,1988-02-20,1988-02-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1988-03-25,1988-03-27,1988-03-28
0,0,0,90,0,0,0,0,0,0,0.0,1,0,0.0,0,0,EARTHQUAKES,1988-06-24,1988-06-26,1988-06-27
0,0,0,13,2420,0,60000,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1989-11-07,1989-11-09,1989-11-10
0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,EARTHQUAKES,1994-09-17,1994-09-19,1994-09-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,1995-01-26,1995-01-28,1995-01-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2002-06-24,2002-06-26,2002-06-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2003-04-29,2003-05-01,2003-05-02
0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,EARTHQUAKES,2010-01-23,2010-01-25,2010-01-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2013-03-17,2013-03-19,2013-03-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,EARTHQUAKES,2013-04-08,2013-04-10,2013-04-11
