deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1993-03-18,1993-03-23,1993-03-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1994-05-04,1994-05-09,1994-05-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1994-05-22,1994-05-27,1994-05-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1994-09-22,1994-09-27,1994-09-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1995-04-24,1995-04-29,1995-04-29
9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,930,0.0,FLOODS,1995-06-01,1995-06-06,1995-06-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1995-07-27,1995-08-01,1995-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1996-03-24,1996-03-29,1996-03-29
0,0,0,0,0,0,0,300,0,0,0,0,0,0.0,0,0.0,FLOODS,1996-09-07,1996-09-12,1996-09-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1996-09-27,1996-10-02,1996-10-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1996-10-28,1996-11-02,1996-11-02
8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1997-03-01,1997-03-06,1997-03-06
0,0,0,0,30,0,100,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1997-04-06,1997-04-11,1997-04-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1997-06-30,1997-07-05,1997-07-05
0,0,0,0,0,0,0,6,0,0,0,0,0,0.0,0,0.0,FLOODS,1998-01-12,1998-01-17,1998-01-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1998-03-08,1998-03-13,1998-03-13
0,0,0,0,50,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1998-03-20,1998-03-25,1998-03-25
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1998-05-04,1998-05-09,1998-05-09
10,0,0,0,0,0,111,0,0,0,0,0,0,679.0,0,0.0,FLOODS,1998-05-12,1998-05-17,1998-05-17
0,0,0,65,200,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1998-06-04,1998-06-09,1998-06-09
1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1998-07-08,1998-07-13,1998-07-13
0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1999-02-23,1999-02-28,1999-02-28
0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1999-08-10,1999-08-15,1999-08-15
