deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,12,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,1968-10-25,1968-10-30,1968-10-30
11,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,1970-04-21,1970-04-26,1970-04-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,1994-05-23,1994-05-28,1994-05-28
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,1995-02-22,1995-02-27,1995-02-27
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2001-10-20,2001-10-25,2001-10-25
0,0,0,0,50,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2001-11-23,2001-11-28,2001-11-28
2,0,0,0,1400,0,27555,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2002-03-10,2002-03-15,2002-03-15
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2008-08-11,2008-08-16,2008-08-16
1,0,0,0,80,0,45,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2009-10-30,2009-11-04,2009-11-04
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2010-03-04,2010-03-09,2010-03-09
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2010-04-18,2010-04-23,2010-04-23
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,STORMS,2011-04-17,2011-04-22,2011-04-22
