deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-09-01,1973-09-06,1973-09-06
1,0,2,0,15,0,225,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-10-15,1973-10-20,1973-10-20
0,0,0,0,0,730,0,0,0,0,500000,0,0,0.0,400,0.0,FLOODS,1973-10-23,1973-10-28,1973-10-28
1,0,1,40,100,3314,0,0,70,0,10000000,0,0,20.0,20000,0.0,FLOODS,1973-11-14,1973-11-19,1973-11-19
0,0,0,0,0,0,135,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-11-20,1973-11-25,1973-11-25
1,0,0,0,0,0,0,0,0,0,0,0,0,200.0,1000,0.0,FLOODS,1973-11-28,1973-12-03,1973-12-03
0,0,0,0,80,45,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1973-12-20,1973-12-25,1973-12-25
0,0,0,0,60,0,0,0,0,0,0,0,0,200.0,0,0.0,FLOODS,1974-04-01,1974-04-06,1974-04-06
3,0,4,0,15,900,0,0,0,0,10000000,0,0,0.0,0,0.0,FLOODS,1974-05-05,1974-05-10,1974-05-10
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-06-02,1974-06-07,1974-06-07
1,0,0,0,0,0,1800,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-08-20,1974-08-25,1974-08-25
0,0,0,0,0,270,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-09-01,1974-09-06,1974-09-06
1,0,0,0,0,675,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-09-07,1974-09-12,1974-09-12
1,0,3,20,0,315,0,0,0,0,3000000,0,0,0.0,0,0.0,FLOODS,1974-10-10,1974-10-15,1974-10-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-10-29,1974-11-03,1974-11-03
0,0,0,100,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1974-11-09,1974-11-14,1974-11-14
2,0,0,0,400,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-05-06,1975-05-11,1975-05-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-06-08,1975-06-13,1975-06-13
0,0,0,0,0,450,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-06-26,1975-07-01,1975-07-01
0,0,3,0,0,2250,0,0,0,0,20000000,0,0,0.0,0,0.0,FLOODS,1975-07-05,1975-07-10,1975-07-10
0,0,0,0,0,0,0,0,0,0,3000000,0,0,0.0,0,0.0,FLOODS,1975-07-15,1975-07-20,1975-07-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-07-23,1975-07-28,1975-07-28
0,0,0,40,0,180,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-08-19,1975-08-24,1975-08-24
3,0,0,0,40,1000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-09-02,1975-09-07,1975-09-07
15,0,10,25,0,400,0,0,0,0,3000000,0,0,0.0,0,0.0,FLOODS,1975-10-09,1975-10-14,1975-10-14
0,0,0,10,30,525,0,0,0,0,3000000,0,0,0.0,0,0.0,FLOODS,1975-10-16,1975-10-21,1975-10-21
1,0,2,0,300,1783,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-10-29,1975-11-03,1975-11-03
0,0,0,0,30,0,0,0,0,0,0,0,0,100.0,0,0.0,FLOODS,1975-11-13,1975-11-18,1975-11-18
0,0,13,0,30,6000,0,0,0,0,27000000,0,0,5300.0,0,0.0,FLOODS,1975-12-07,1975-12-12,1975-12-12
1,0,0,0,0,0,0,0,0,0,500000,0,0,0.0,0,0.0,FLOODS,1975-12-16,1975-12-21,1975-12-21
0,0,0,0,0,5000,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-12-26,1975-12-31,1975-12-31
0,0,0,0,0,1575,1125,0,0,0,2150000,0,0,1000.0,0,0.0,FLOODS,1976-01-02,1976-01-07,1976-01-07
0,0,0,0,0,1700,0,0,0,0,0,0,1,80000.0,0,0.0,FLOODS,1976-01-09,1976-01-14,1976-01-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-01-16,1976-01-21,1976-01-21
0,0,0,0,0,0,0,0,0,0,20000000,0,0,0.0,0,0.0,FLOODS,1976-03-12,1976-03-17,1976-03-17
0,0,0,0,0,0,100,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-04-20,1976-04-25,1976-04-25
0,0,1,4,200,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-05-02,1976-05-07,1976-05-07
0,0,0,28,1000,8360,0,0,2250,0,100000000,0,0,0.0,60,0.0,FLOODS,1976-05-17,1976-05-22,1976-05-22
0,0,0,0,30,2250,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-05-26,1976-05-31,1976-05-31
0,0,0,0,100,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-06-02,1976-06-07,1976-06-07
0,0,0,0,0,500,0,0,360,0,0,0,0,0.0,0,0.0,FLOODS,1976-06-10,1976-06-15,1976-06-15
3,0,0,0,500,9813,0,0,0,0,310000000,0,0,4800.0,900,0.0,FLOODS,1976-06-19,1976-06-24,1976-06-24
0,0,0,0,925,1000,0,0,0,0,200000,0,0,40000.0,0,0.0,FLOODS,1976-06-26,1976-07-01,1976-07-01
0,0,0,0,262,37875,895,595,2,0,122000000,0,0,36150.0,0,0.0,FLOODS,1976-07-04,1976-07-09,1976-07-09
4,0,0,4,500,5539,7275,1350,0,0,0,0,0,0.0,0,0.0,FLOODS,1976-07-13,1976-07-18,1976-07-18
0,0,0,0,0,17356,3105,54,0,0,50000000,0,0,84500.0,20000,0.0,FLOODS,1976-07-19,1976-07-24,1976-07-24
1,0,0,0,400,33600,28000,0,795,0,10000000,0,0,0.0,0,0.0,FLOODS,1976-07-25,1976-07-30,1976-07-30
0,0,0,0,0,0,36000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-06-29,1977-07-04,1977-07-04
0,0,0,0,0,400,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-07-27,1977-08-01,1977-08-01
5,0,0,0,8,7850,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-08-21,1977-08-26,1977-08-26
1,0,0,0,0,45,0,0,0,0,0,0,0,500.0,15000,0.0,FLOODS,1977-08-31,1977-09-05,1977-09-05
0,0,0,0,0,400,0,0,0,0,250000,0,0,0.0,0,0.0,FLOODS,1977-10-09,1977-10-14,1977-10-14
0,0,0,1,6,27,0,0,0,0,0,0,0,300.0,0,0.0,FLOODS,1977-10-31,1977-11-05,1977-11-05
0,0,0,0,0,200,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1977-11-08,1977-11-13,1977-11-13
2,0,0,0,80,0,200,0,0,0,10000000,0,0,0.0,0,0.0,FLOODS,1977-11-22,1977-11-27,1977-11-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1978-03-05,1978-03-10,1978-03-10
