deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
14,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1865-10-10,1865-10-15,1865-10-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1935-03-31,1935-04-05,1935-04-05
2,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1946-10-11,1946-10-16,1946-10-16
12,0,0,117,95,0,0,0,0,0,97402501.92,0,0,12861.1,2773,205,FLOODS,1946-10-23,1946-10-28,1946-10-28
0,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,100,0,FLOODS,1946-10-30,1946-11-04,1946-11-04
1,0,0,22,31,0,0,0,0,0,2200.0,0,0,0.0,61,0,FLOODS,1946-11-15,1946-11-20,1946-11-20
0,0,0,0,0,0,0,0,0,0,20079.0,0,0,0.0,0,0,FLOODS,1947-05-25,1947-05-30,1947-05-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1947-11-23,1947-11-28,1947-11-28
0,0,0,5,3,0,0,0,0,0,483106.0,0,0,0.0,0,0,FLOODS,1947-12-12,1947-12-17,1947-12-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,5059.5,0,0,FLOODS,1949-05-24,1949-05-29,1949-05-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,2583.0,0,0,FLOODS,1949-10-02,1949-10-07,1949-10-07
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1949-12-06,1949-12-11,1949-12-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1952-12-17,1952-12-22,1952-12-22
0,0,0,0,0,0,0,0,0,0,52747.0,0,0,0.0,0,0,FLOODS,1953-11-01,1953-11-06,1953-11-06
0,0,0,0,0,0,0,0,0,0,769995.0,0,0,6.5,0,0,FLOODS,1953-11-12,1953-11-17,1953-11-17
5,0,0,3,0,0,0,0,0,0,7756112.0,0,0,3778.4,87,0,FLOODS,1953-12-12,1953-12-17,1953-12-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,2897.8,0,0,FLOODS,1955-04-10,1955-04-15,1955-04-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,96.9,0,0,FLOODS,1955-04-27,1955-05-02,1955-05-02
0,0,0,0,0,0,0,0,0,0,599044.0,0,0,0.0,0,0,FLOODS,1955-09-16,1955-09-21,1955-09-21
0,0,0,0,0,0,0,0,0,0,13957.0,0,0,0.0,0,0,FLOODS,1955-10-24,1955-10-29,1955-10-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,10,0,FLOODS,1956-11-19,1956-11-24,1956-11-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1956-11-30,1956-12-05,1956-12-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1960-01-15,1960-01-20,1960-01-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,26.0,25,0,FLOODS,1960-10-21,1960-10-26,1960-10-26
4,0,0,123,100,557,0,0,0,0,0.0,0,0,543.0,2,0,FLOODS,1960-11-07,1960-11-12,1960-11-12
0,0,0,54,0,0,0,0,0,0,5100000.0,0,0,0.0,0,0,FLOODS,1960-11-18,1960-11-23,1960-11-23
0,0,0,0,0,0,0,0,0,0,613298.0,0,0,5.0,0,0,FLOODS,1961-11-15,1961-11-20,1961-11-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,410.0,0,0,FLOODS,1962-02-26,1962-03-03,1962-03-03
0,0,0,0,0,0,0,0,0,0,500000.0,0,0,0.0,0,0,FLOODS,1962-10-16,1962-10-21,1962-10-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,50,FLOODS,1963-02-05,1963-02-10,1963-02-10
0,0,0,54,151,56,0,0,0,0,5650000.0,4,0,9.0,0,13700,FLOODS,1963-02-22,1963-02-27,1963-02-27
0,0,0,64,0,0,0,0,0,0,4700000.0,0,0,0.0,0,0,FLOODS,1963-04-15,1963-04-20,1963-04-20
0,0,0,0,0,0,0,0,0,0,10000000.0,0,0,7.0,0,0,FLOODS,1963-05-06,1963-05-11,1963-05-11
0,3,0,0,5,0,0,0,0,0,0.0,0,0,1400.0,34,0,FLOODS,1963-05-15,1963-05-20,1963-05-20
0,0,0,21,0,0,0,0,0,0,13537750.0,0,0,280.72,0,0,FLOODS,1964-11-12,1964-11-17,1964-11-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1968-06-11,1968-06-16,1968-06-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,1500.0,0,0,FLOODS,1968-12-17,1968-12-22,1968-12-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,20000.0,0,200,FLOODS,1970-12-31,1971-01-05,1971-01-05
0,0,0,0,0,0,0,0,0,0,96115.0,0,0,1500.0,0,0,FLOODS,1971-10-08,1971-10-13,1971-10-13
0,0,0,0,0,0,0,0,0,0,200000.0,0,0,0.0,0,0,FLOODS,1972-07-12,1972-07-17,1972-07-17
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-09-16,1972-09-21,1972-09-21
0,2,0,2,4,0,0,0,0,0,11537884.0,0,0,835.0,7,4800,FLOODS,1973-11-07,1973-11-12,1973-11-12
1,13,3,0,0,0,0,0,0,0,0.0,0,0,419.0,0,0,FLOODS,1975-10-12,1975-10-17,1975-10-17
