deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-03-01,1970-03-06,1970-03-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-05-20,1970-05-25,1970-05-25
0,0,0,0,0,0,0,0,0,0,1000000,0,0,0.0,0,0,FLOODS,1970-05-31,1970-06-05,1970-06-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-06-18,1970-06-23,1970-06-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-07-14,1970-07-19,1970-07-19
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-03-02,1971-03-07,1971-03-07
1,1,0,2,30,200,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-05-20,1971-05-25,1971-05-25
0,0,0,0,10,40,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-06-20,1971-06-25,1971-06-25
0,0,0,0,0,36,0,0,36,0,0,0,0,0.0,0,0,FLOODS,1971-06-27,1971-07-02,1971-07-02
1,1,0,1,40,558,40,0,300,0,0,0,0,0.0,0,0,FLOODS,1971-07-09,1971-07-14,1971-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-08-01,1971-08-06,1971-08-06
0,0,0,0,0,73,300,0,73,0,0,0,0,0.0,0,0,FLOODS,1971-08-07,1971-08-12,1971-08-12
0,0,0,0,6,6,0,0,6,0,0,0,0,0.0,0,0,FLOODS,1971-08-20,1971-08-25,1971-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-09-03,1971-09-08,1971-09-08
0,0,0,0,30,100,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-09-14,1971-09-19,1971-09-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-05-08,1972-05-13,1972-05-13
0,0,0,0,0,400,19,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-06-08,1972-06-13,1972-06-13
0,0,0,0,0,460,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-08-13,1972-08-18,1972-08-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,50,FLOODS,1972-09-16,1972-09-21,1972-09-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-12-01,1972-12-06,1972-12-06
1,12,0,0,0,30,0,0,0,0,0,0,0,50.0,0,0,FLOODS,1972-12-12,1972-12-17,1972-12-17
0,0,0,0,0,186,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-12-20,1972-12-25,1972-12-25
0,0,0,40,0,549,0,0,5,0,0,0,0,0.0,0,0,FLOODS,1973-01-13,1973-01-18,1973-01-18
0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1973-06-30,1973-07-05,1973-07-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1974-04-28,1974-05-03,1974-05-03
0,0,0,0,9,36,0,0,36,0,0,0,0,0.0,0,0,FLOODS,1974-06-19,1974-06-24,1974-06-24
0,0,0,850,0,1000,0,0,1000,0,0,0,0,0.0,0,0,FLOODS,1974-06-25,1974-06-30,1974-06-30
0,0,0,0,0,150,0,0,65,0,6000000,0,0,0.0,0,0,FLOODS,1975-07-02,1975-07-07,1975-07-07
0,0,0,0,0,22,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1976-06-15,1976-06-20,1976-06-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1976-08-10,1976-08-15,1976-08-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1976-09-28,1976-10-03,1976-10-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1976-11-03,1976-11-08,1976-11-08
0,0,0,2,3,26,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1976-12-30,1977-01-04,1977-01-04
0,0,0,6,0,40,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-02-22,1977-02-27,1977-02-27
0,0,0,0,0,0,500,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-03-03,1977-03-08,1977-03-08
0,0,0,0,0,126,0,0,0,0,0,0,0,0.0,1000,0,FLOODS,1977-03-15,1977-03-20,1977-03-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-05-24,1977-05-29,1977-05-29
0,0,0,0,0,241,100,0,241,0,0,0,0,0.0,0,0,FLOODS,1977-06-03,1977-06-08,1977-06-08
0,0,0,0,1,450,3500,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-07-22,1977-07-27,1977-07-27
0,0,0,0,0,62,0,0,62,0,0,0,0,0.0,0,0,FLOODS,1977-08-02,1977-08-07,1977-08-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-08-09,1977-08-14,1977-08-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-09-11,1977-09-16,1977-09-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1978-07-12,1978-07-17,1978-07-17
0,0,0,7,0,528,0,0,60,0,0,0,0,0.0,0,0,FLOODS,1978-07-23,1978-07-28,1978-07-28
