deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,70000.0,0,0,FLOODS,1909-10-18,1909-10-23,1909-10-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-01-02,1970-01-07,1970-01-07
0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,100,FLOODS,1970-01-08,1970-01-13,1970-01-13
0,0,0,5,0,0,0,0,300,0,0,0,0,0.0,0,0,FLOODS,1970-01-19,1970-01-24,1970-01-24
0,0,0,0,0,0,0,0,150,0,0,0,0,0.0,0,0,FLOODS,1970-01-28,1970-02-02,1970-02-02
0,0,0,3,0,0,3,0,0,0,0,0,0,0.0,0,2000,FLOODS,1970-02-13,1970-02-18,1970-02-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-02-19,1970-02-24,1970-02-24
0,3,0,0,0,0,264,0,4,28571,0,0,0,0.0,0,0,FLOODS,1970-02-27,1970-03-04,1970-03-04
2,0,0,30,0,0,200,0,210,0,0,0,0,0.0,0,0,FLOODS,1970-03-06,1970-03-11,1970-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-03-12,1970-03-17,1970-03-17
0,0,0,0,0,0,0,0,700,0,0,2,0,0.0,0,0,FLOODS,1970-03-18,1970-03-23,1970-03-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-04-20,1970-04-25,1970-04-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-05-13,1970-05-18,1970-05-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-06-02,1970-06-07,1970-06-07
0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,FLOODS,1970-06-12,1970-06-17,1970-06-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-09-18,1970-09-23,1970-09-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-10-17,1970-10-22,1970-10-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-12-19,1970-12-24,1970-12-24
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-12-25,1970-12-30,1970-12-30
1,0,0,0,0,0,0,0,1500,0,0,0,0,0.0,0,0,FLOODS,1971-01-01,1971-01-06,1971-01-06
0,0,0,0,0,0,0,0,475,0,0,0,0,0.0,0,0,FLOODS,1971-01-07,1971-01-12,1971-01-12
3,0,0,0,0,0,0,0,2150,0,0,0,0,0.0,0,0,FLOODS,1971-01-14,1971-01-19,1971-01-19
0,0,1,0,0,0,0,0,870,0,0,0,0,0.0,0,0,FLOODS,1971-01-20,1971-01-25,1971-01-25
0,0,0,0,0,0,600,0,195,0,0,0,0,0.0,0,0,FLOODS,1971-01-26,1971-01-31,1971-01-31
2,0,1,0,0,0,0,0,1405,0,0,0,0,0.0,0,0,FLOODS,1971-02-01,1971-02-06,1971-02-06
0,1,0,0,0,2000,0,0,3,0,0,0,0,45000.0,0,0,FLOODS,1971-02-07,1971-02-12,1971-02-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-02-19,1971-02-24,1971-02-24
0,0,0,0,0,0,0,0,500,0,0,0,0,0.0,0,0,FLOODS,1971-03-06,1971-03-11,1971-03-11
0,0,0,0,0,0,0,0,100,0,0,0,0,0.0,0,0,FLOODS,1971-03-29,1971-04-03,1971-04-03
0,0,0,0,0,0,0,0,500,0,0,0,0,0.0,0,0,FLOODS,1971-04-07,1971-04-12,1971-04-12
0,0,0,0,0,0,0,0,150,0,0,0,0,0.0,0,0,FLOODS,1971-05-21,1971-05-26,1971-05-26
0,0,0,0,0,0,0,0,500,0,0,0,0,0.0,0,0,FLOODS,1971-05-28,1971-06-02,1971-06-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-07-09,1971-07-14,1971-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-07-22,1971-07-27,1971-07-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-08-02,1971-08-07,1971-08-07
0,0,0,0,0,0,0,0,0,0,0,0,0,523.0,0,0,FLOODS,1971-09-04,1971-09-09,1971-09-09
0,0,0,0,100,0,0,0,540,0,0,0,0,0.0,0,0,FLOODS,1971-09-12,1971-09-17,1971-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-10-08,1971-10-13,1971-10-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-01-08,1972-01-13,1972-01-13
0,0,0,0,0,0,0,0,143,0,0,0,0,0.0,0,0,FLOODS,1972-02-19,1972-02-24,1972-02-24
0,0,0,30,0,0,0,0,240,0,0,0,0,0.0,0,0,FLOODS,1972-02-25,1972-03-01,1972-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-04-03,1972-04-08,1972-04-08
0,0,0,200,0,0,0,0,800,0,0,0,0,0.0,0,0,FLOODS,1972-04-23,1972-04-28,1972-04-28
0,0,0,55,105,32,0,0,737,0,0,1,1,0.0,0,500,FLOODS,1972-05-08,1972-05-13,1972-05-13
0,0,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-05-15,1972-05-20,1972-05-20
0,0,0,293,126,537,0,0,5467,0,0,0,1,0.0,0,0,FLOODS,1972-05-29,1972-06-03,1972-06-03
0,0,0,0,0,0,0,0,10454,0,0,0,0,0.0,400,0,FLOODS,1972-06-13,1972-06-18,1972-06-18
0,0,0,0,0,0,0,0,67,0,0,0,0,0.0,0,0,FLOODS,1972-07-20,1972-07-25,1972-07-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-08-15,1972-08-20,1972-08-20
0,0,0,0,0,0,0,0,667,0,0,1,0,0.0,0,0,FLOODS,1972-08-22,1972-08-27,1972-08-27
0,0,0,0,0,0,0,0,4372,0,0,0,0,0.0,0,0,FLOODS,1972-08-28,1972-09-02,1972-09-02
0,0,0,0,0,0,0,0,534,0,0,0,0,2500.0,0,0,FLOODS,1972-09-04,1972-09-09,1972-09-09
1,0,0,50,400,0,1500,0,4935,0,0,0,0,370000.0,2000,0,FLOODS,1972-09-15,1972-09-20,1972-09-20
0,0,0,0,0,0,0,0,645,0,0,0,0,0.0,0,0,FLOODS,1972-09-30,1972-10-05,1972-10-05
0,0,0,0,800,0,0,0,4399,0,0,1,0,0.0,0,0,FLOODS,1972-10-08,1972-10-13,1972-10-13
0,0,0,0,0,0,0,0,358,0,0,0,0,3000.0,15000,0,FLOODS,1972-10-17,1972-10-22,1972-10-22
0,0,0,0,0,0,0,0,1022,0,0,0,0,0.0,0,0,FLOODS,1972-10-25,1972-10-30,1972-10-30
0,0,0,0,0,0,0,0,360,0,0,0,0,0.0,0,0,FLOODS,1972-11-07,1972-11-12,1972-11-12
