deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-09-04,1979-09-09,1979-09-09
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-08-05,1980-08-10,1980-08-10
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-09-08,1981-09-13,1981-09-13
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-09-20,1983-09-25,1983-09-25
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1987-09-23,1987-09-28,1987-09-28
0,0,0,0,0,0,73795,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-09-09,1988-09-14,1988-09-14
0,0,0,0,0,0,71119,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-08-14,1993-08-19,1993-08-19
0,0,0,0,0,0,71183,0,0,0,30000000,0,0,1478.0,0,0,FLOODS,1994-09-09,1994-09-14,1994-09-14
0,0,0,0,0,0,80112,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-07-07,1996-07-12,1996-07-12
0,0,0,0,0,0,71183,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-09-08,1996-09-13,1996-09-13
0,0,0,0,0,0,71183,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-09-17,2000-09-22,2000-09-22
0,0,0,0,0,0,79724,0,0,0,0,0,0,0.0,0,0,FLOODS,2004-08-03,2004-08-08,2004-08-08
0,0,0,0,0,0,70739,0,0,0,0,0,0,0.0,0,0,FLOODS,2010-09-01,2010-09-06,2010-09-06
0,0,0,0,0,0,79759,0,0,0,0,0,0,0.0,0,0,FLOODS,2011-08-20,2011-08-25,2011-08-25
0,0,0,0,0,0,5626,0,0,0,0,0,0,0.0,0,0,FLOODS,2011-10-20,2011-10-25,2011-10-25
0,0,0,0,0,0,5626,0,0,0,0,0,0,0.0,0,0,FLOODS,2012-08-13,2012-08-18,2012-08-18
0,0,0,0,0,0,70739,0,0,0,0,0,0,0.0,0,0,FLOODS,2012-10-12,2012-10-17,2012-10-17
2,1,0,0,0,0,15701,0,0,0,0,0,0,0.0,0,0,FLOODS,2013-04-19,2013-04-24,2013-04-24
