deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,1000,0,0,0,0,0,0,0.0,0,0,FLOODS,1957-09-07,1957-09-12,1957-09-12
0,0,0,0,0,0,15000,0,0,0,0,0,0,0.0,0,0,FLOODS,1961-09-07,1961-09-12,1961-09-12
0,0,0,0,0,0,900,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-09-07,1977-09-12,1977-09-12
12,0,0,30,1,0,0,0,0,0,0,0,0,80.0,0,0,FLOODS,1978-09-07,1978-09-12,1978-09-12
0,0,0,38,0,0,5000,0,0,0,0,0,0,0.0,0,0,FLOODS,1985-09-07,1985-09-12,1985-09-12
0,0,0,0,0,0,508516,0,0,0,0,0,0,0.0,76984,0,FLOODS,1986-09-07,1986-09-12,1986-09-12
0,0,0,0,0,0,51449,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-09-07,1991-09-12,1991-09-12
0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-09-28,1992-10-03,1992-10-03
6,7,0,0,0,0,0,0,0,0,0,0,0,17.0,6,0,FLOODS,1993-04-15,1993-04-20,1993-04-20
0,0,0,0,0,0,0,500,0,0,0,0,0,0.0,0,0,FLOODS,1993-04-26,1993-05-01,1993-05-01
0,0,0,0,0,0,1694333,39996,0,0,0,0,0,16265.0,6412,0,FLOODS,1993-09-07,1993-09-12,1993-09-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,190,0,FLOODS,1994-03-01,1994-03-06,1994-03-06
0,2,0,307,0,0,500,0,0,0,0,0,0,245.0,0,0,FLOODS,1994-04-01,1994-04-06,1994-04-06
1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,FLOODS,1994-04-18,1994-04-23,1994-04-23
0,0,0,13,11,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-05-01,1994-05-06,1994-05-06
25,0,0,204,0,0,0,0,0,0,0,0,0,0.0,2377,0,FLOODS,1994-05-14,1994-05-19,1994-05-19
2,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-08-01,1994-08-06,1994-08-06
0,0,0,0,0,0,514541,153850,0,0,0,0,0,2306.0,1020,0,FLOODS,1994-09-07,1994-09-12,1994-09-12
10,0,0,0,0,0,0,0,0,0,0,0,0,690.0,0,0,FLOODS,1995-03-09,1995-03-14,1995-03-14
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-07-09,1995-07-14,1995-07-14
0,0,0,0,0,0,0,488,0,0,0,0,0,669.0,0,0,FLOODS,1995-08-13,1995-08-18,1995-08-18
0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,0,FLOODS,1995-08-21,1995-08-26,1995-08-26
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-10-31,1995-11-05,1995-11-05
0,0,0,0,0,0,1250,29000,0,0,0,0,0,0.0,5963,0,FLOODS,1995-11-30,1995-12-05,1995-12-05
0,0,0,44,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-12-12,1995-12-17,1995-12-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-04-21,1996-04-26,1996-04-26
17,0,0,5,0,0,50000,1055,0,0,0,0,0,1363.0,2000,0,FLOODS,1996-06-01,1996-06-06,1996-06-06
1,0,0,0,0,0,0,12870,0,0,0,0,0,1595.0,0,0,FLOODS,1996-06-08,1996-06-13,1996-06-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-07-01,1996-07-06,1996-07-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-07-24,1996-07-29,1996-07-29
0,0,0,19,0,0,2900,205,0,0,0,0,0,2748.0,44,0,FLOODS,1996-07-30,1996-08-04,1996-08-04
0,0,0,3,0,0,625,0,0,0,0,0,0,25.0,0,0,FLOODS,1996-08-08,1996-08-13,1996-08-13
0,0,0,0,0,0,150000,0,0,0,0,0,0,400.0,0,0,FLOODS,1996-08-20,1996-08-25,1996-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-01-10,1997-01-15,1997-01-15
4,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4,0,FLOODS,1997-05-01,1997-05-06,1997-05-06
0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-07-16,1997-07-21,1997-07-21
57,15,0,20,0,0,3435,4460,0,0,0,0,0,987.0,8844,0,FLOODS,1997-10-01,1997-10-06,1997-10-06
297,3,0,0,0,0,0,69000,0,0,0,0,0,30655.0,25297,0,FLOODS,1997-11-02,1997-11-07,1997-11-07
15,0,0,90,0,0,9496,0,0,0,0,0,0,0.0,32,0,FLOODS,1998-01-31,1998-02-05,1998-02-05
0,0,0,74,0,0,550,0,0,0,0,0,0,437.0,1000,0,FLOODS,1998-06-01,1998-06-06,1998-06-06
40,21,0,0,0,0,1300,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-08-15,1998-08-20,1998-08-20
0,0,0,0,0,0,50000,48000,0,0,0,0,0,0.0,0,0,FLOODS,1998-09-30,1998-10-05,1998-10-05
0,0,0,0,0,0,8539,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-10-12,1998-10-17,1998-10-17
1,0,0,0,0,0,0,14690,0,0,0,0,0,16140.0,268,0,FLOODS,1999-09-01,1999-09-06,1999-09-06
0,0,0,0,0,0,5154,0,0,0,0,0,0,0.0,197,0,FLOODS,1999-09-07,1999-09-12,1999-09-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-05-01,2000-05-06,2000-05-06
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-06-17,2000-06-22,2000-06-22
1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-07-16,2000-07-21,2000-07-21
0,0,0,200,0,0,0,0,0,0,0,0,0,0.0,500,0,FLOODS,2000-09-19,2000-09-24,2000-09-24
0,0,0,0,0,0,45,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-06-22,2001-06-27,2001-06-27
0,0,0,0,0,0,1027,162,0,0,0,0,0,0.0,0,0,FLOODS,2001-08-11,2001-08-16,2001-08-16
2,2,0,0,0,0,0,2500,0,0,0,0,0,570.0,0,0,FLOODS,2001-10-01,2001-10-06,2001-10-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-11-08,2001-11-13,2001-11-13
0,0,0,0,0,0,40,0,0,0,0,0,0,0.0,16,0,FLOODS,2001-12-01,2001-12-06,2001-12-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53,0,FLOODS,2001-12-11,2001-12-16,2001-12-16
0,0,0,0,0,0,4000,1000,0,0,0,0,0,0.0,0,0,FLOODS,2002-04-13,2002-04-18,2002-04-18
6,1,0,0,0,0,0,2500,0,0,0,0,0,0.0,0,0,FLOODS,2002-05-01,2002-05-06,2002-05-06
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-08-05,2002-08-10,2002-08-10
3,0,0,105,0,0,0,0,0,0,0,0,0,1322.0,257,0,FLOODS,2003-04-01,2003-04-06,2003-04-06
0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,345,0,FLOODS,2003-05-01,2003-05-06,2003-05-06
0,0,0,0,0,0,91200,0,0,0,0,0,0,20.0,0,0,FLOODS,2003-05-27,2003-06-01,2003-06-01
34,22,0,442,0,0,120000,98184,0,0,0,0,0,5192.0,418,0,FLOODS,2003-11-30,2003-12-05,2003-12-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82,0,FLOODS,2004-03-01,2004-03-06,2004-03-06
