deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,3,0,3,17,4568,71,31,10,0,0,0,0,0,0,0,FLOODS,1899-12-30,1900-01-04,1900-01-04
0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,FLOODS,1900-01-07,1900-01-12,1900-01-12
0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,FLOODS,1900-03-09,1900-03-14,1900-03-14
0,0,0,2,0,124,0,0,0,0,0,0,0,0,0,0,FLOODS,1900-04-01,1900-04-06,1900-04-06
0,0,0,0,6,0,52,0,23,0,0,0,0,0,0,0,FLOODS,1900-06-14,1900-06-19,1900-06-19
0,0,0,3,5,0,54,0,26,0,0,0,0,0,0,0,FLOODS,1900-06-20,1900-06-25,1900-06-25
0,0,0,1,27,0,223,0,38,0,0,0,0,0,0,0,FLOODS,1900-06-26,1900-07-01,1900-07-01
0,0,2,1,7,23,325,0,14,0,0,0,0,0,0,0,FLOODS,1900-07-19,1900-07-24,1900-07-24
0,0,0,1,9,23,95,0,14,0,0,0,0,0,0,0,FLOODS,1900-07-26,1900-07-31,1900-07-31
0,0,0,1,16,0,133,0,47,0,0,0,0,0,0,0,FLOODS,1900-08-14,1900-08-19,1900-08-19
0,0,0,4,19,0,216,0,83,0,0,0,0,0,0,0,FLOODS,1900-08-20,1900-08-25,1900-08-25
0,0,2,1,15,69,119,0,15,0,0,0,0,0,0,0,FLOODS,1900-08-26,1900-08-31,1900-08-31
0,0,0,3,2,0,33,0,25,0,0,0,0,0,0,0,FLOODS,1900-09-13,1900-09-18,1900-09-18
0,0,0,0,1,0,7,0,3,0,0,0,0,0,0,0,FLOODS,1900-09-24,1900-09-29,1900-09-29
0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,FLOODS,1905-07-10,1905-07-15,1905-07-15
0,0,0,0,1,0,9,0,3,0,0,0,0,0,0,0,FLOODS,1946-04-10,1946-04-15,1946-04-15
0,0,0,0,1,0,7,0,3,0,0,0,0,0,0,0,FLOODS,1966-01-08,1966-01-13,1966-01-13
0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,FLOODS,1991-03-01,1991-03-06,1991-03-06
0,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,FLOODS,2010-09-05,2010-09-10,2010-09-10
0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,FLOODS,2015-08-26,2015-08-31,2015-08-31
0,0,0,0,0,0,38,37,0,0,0,0,0,0,0,0,FLOODS,2017-01-08,2017-01-13,2017-01-13
0,0,0,0,0,0,24,23,0,0,0,0,0,0,0,0,FLOODS,2017-02-08,2017-02-13,2017-02-13
0,0,0,0,0,0,28,16,0,0,0,0,0,0,0,0,FLOODS,2017-03-07,2017-03-12,2017-03-12
0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,FLOODS,2017-04-09,2017-04-14,2017-04-14
0,0,0,0,0,0,49,12,0,0,0,0,0,0,0,0,FLOODS,2017-06-03,2017-06-08,2017-06-08
0,0,0,0,0,0,60,57,0,0,0,0,0,0,0,0,FLOODS,2017-06-09,2017-06-14,2017-06-14
0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,FLOODS,2017-06-23,2017-06-28,2017-06-28
0,0,0,0,0,0,662,431,0,0,0,0,0,0,0,0,FLOODS,2017-06-29,2017-07-04,2017-07-04
0,0,0,0,0,0,1007,519,0,0,0,0,0,0,0,0,FLOODS,2017-07-20,2017-07-25,2017-07-25
0,0,0,0,0,0,30,18,0,0,0,0,0,0,0,0,FLOODS,2017-08-01,2017-08-06,2017-08-06
0,0,0,0,0,0,374,338,0,0,0,0,0,0,0,0,FLOODS,2017-08-13,2017-08-18,2017-08-18
0,0,0,0,0,0,687,648,0,0,0,0,0,0,0,0,FLOODS,2017-08-19,2017-08-24,2017-08-24
1,0,0,0,0,0,330,229,0,0,0,0,0,0,0,0,FLOODS,2017-09-08,2017-09-13,2017-09-13
0,0,0,0,0,0,61,62,0,0,0,0,0,0,0,0,FLOODS,2017-09-14,2017-09-19,2017-09-19
0,0,0,0,0,0,348,275,0,0,0,0,0,0,0,0,FLOODS,2017-10-07,2017-10-12,2017-10-12
0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,FLOODS,2017-10-14,2017-10-19,2017-10-19
0,0,0,0,0,0,90,100,0,0,0,0,0,0,0,0,FLOODS,2017-11-08,2017-11-13,2017-11-13
0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,FLOODS,2017-11-19,2017-11-24,2017-11-24
0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,FLOODS,2017-12-08,2017-12-13,2017-12-13
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,FLOODS,2017-12-30,2018-01-04,2018-01-04
0,0,0,0,3,47,32,0,10,0,0,0,0,0,0,0,FLOODS,2018-01-07,2018-01-12,2018-01-12
0,0,0,1,2,6,24,0,8,0,0,0,0,0,0,0,FLOODS,2018-02-08,2018-02-13,2018-02-13
0,0,5,10,1,260,10,0,5,0,0,0,0,0,0,0,FLOODS,2018-03-07,2018-03-12,2018-03-12
0,0,30,15,6,906,49,7,25,0,0,0,0,0,0,0,FLOODS,2018-05-06,2018-05-11,2018-05-11
0,0,0,1,0,4,12,0,0,0,0,0,0,0,0,0,FLOODS,2018-06-01,2018-06-06,2018-06-06
0,0,0,6,19,215,159,0,71,0,0,0,0,0,0,0,FLOODS,2018-06-07,2018-06-12,2018-06-12
0,0,1,1,3,82,20,0,9,0,0,0,0,0,0,0,FLOODS,2018-07-09,2018-07-14,2018-07-14
0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,FLOODS,2018-07-21,2018-07-26,2018-07-26
0,4,0,17,3,96,24,61,7,0,0,0,0,0,0,0,FLOODS,2018-08-01,2018-08-06,2018-08-06
0,0,1,1,4,24,47,0,26,0,0,0,0,0,0,0,FLOODS,2018-08-07,2018-08-12,2018-08-12
0,0,24,109,0,1317,0,727,0,0,0,0,0,0,0,0,FLOODS,2018-08-29,2018-09-03,2018-09-03
0,3,141,252,2,5731,23,280,10,0,0,0,0,0,0,0,FLOODS,2018-09-04,2018-09-09,2018-09-09
0,0,10,19,3,642,31,0,5,0,0,0,0,0,0,0,FLOODS,2018-09-10,2018-09-15,2018-09-15
0,0,0,12,1,97,10,0,2,0,0,0,0,0,0,0,FLOODS,2018-09-16,2018-09-21,2018-09-21
0,0,4,9,0,164,0,0,0,0,0,0,0,0,0,0,FLOODS,2018-09-22,2018-09-27,2018-09-27
0,0,21,19,1,476,9,0,0,0,0,0,0,0,0,0,FLOODS,2018-09-29,2018-10-04,2018-10-04
0,0,0,4,12,27,109,0,38,0,0,0,0,0,0,0,FLOODS,2018-10-08,2018-10-13,2018-10-13
0,0,0,4,1,40,7,0,0,0,0,0,0,0,0,0,FLOODS,2018-10-14,2018-10-19,2018-10-19
0,0,0,5,47,0,440,0,175,0,0,0,0,0,0,0,FLOODS,2018-11-06,2018-11-11,2018-11-11
