deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1978-08-02,1978-08-07,1978-08-07
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1978-08-21,1978-08-26,1978-08-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1978-12-24,1978-12-29,1978-12-29
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1981-05-19,1981-05-24,1981-05-24
2,1,0,750,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1982-06-09,1982-06-14,1982-06-14
22,0,0,3669,123344,0,84000,0,0,0,0,0,0,0.0,0,0,STORMS,1984-11-09,1984-11-14,1984-11-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1985-04-25,1985-04-30,1985-04-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1987-05-26,1987-05-31,1987-05-31
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1989-06-05,1989-06-10,1989-06-10
4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1989-10-14,1989-10-19,1989-10-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1993-04-27,1993-05-02,1993-05-02
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1993-08-25,1993-08-30,1993-08-30
36,0,0,0,0,0,0,0,0,0,40000,0,0,0.0,0,0,STORMS,1996-02-26,1996-03-02,1996-03-02
2,0,0,0,0,0,0,0,0,0,20000,0,0,0.0,0,0,STORMS,1996-03-04,1996-03-09,1996-03-09
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1996-04-18,1996-04-23,1996-04-23
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1996-05-01,1996-05-06,1996-05-06
6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1996-05-12,1996-05-17,1996-05-17
0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1997-03-25,1997-03-30,1997-03-30
2,0,0,0,0,0,0,0,0,0,30000,0,0,0.0,0,0,STORMS,1997-04-14,1997-04-19,1997-04-19
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8,0,STORMS,1997-05-05,1997-05-10,1997-05-10
2,0,0,0,0,0,0,0,0,0,30000,0,0,0.0,0,0,STORMS,1997-08-05,1997-08-10,1997-08-10
2,0,0,0,0,0,0,0,0,0,30000,0,0,0.0,0,0,STORMS,1997-08-16,1997-08-21,1997-08-21
8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1998-05-24,1998-05-29,1998-05-29
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1998-07-06,1998-07-11,1998-07-11
