deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-06-09,1984-06-14,1984-06-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-06-19,1984-06-24,1984-06-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-08-07,1984-08-12,1984-08-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-08-22,1984-08-27,1984-08-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1985-09-17,1985-09-22,1985-09-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1985-10-09,1985-10-14,1985-10-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1985-10-18,1985-10-23,1985-10-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-08-11,1986-08-16,1986-08-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-08-20,1986-08-25,1986-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-10-17,1986-10-22,1986-10-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-03-10,1991-03-15,1991-03-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-07-02,1991-07-07,1991-07-07
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-05-02,1992-05-07,1992-05-07
1,4,0,16,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-07-18,1992-07-23,1992-07-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-07-26,1992-07-31,1992-07-31
0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-08-16,1992-08-21,1992-08-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-08-28,1992-09-02,1992-09-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-07-18,1993-07-23,1993-07-23
0,0,0,101,18,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-09-14,1993-09-19,1993-09-19
0,0,15,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-09-20,1993-09-25,1993-09-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-11-19,1993-11-24,1993-11-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-07-09,1994-07-14,1994-07-14
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1994-07-30,1994-08-04,1994-08-04
0,0,0,0,13,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-01-21,1995-01-26,1995-01-26
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-05-12,1995-05-17,1995-05-17
0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-07-14,1995-07-19,1995-07-19
0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,4,0,FLOODS,1995-07-20,1995-07-25,1995-07-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-08-03,1995-08-08,1995-08-08
10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-09-06,1995-09-11,1995-09-11
0,0,0,0,24,0,0,0,0,0,0,0,0,0.0,9,0,FLOODS,1996-07-30,1996-08-04,1996-08-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-08-09,1996-08-14,1996-08-14
0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-08-21,1996-08-26,1996-08-26
0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1996-09-18,1996-09-23,1996-09-23
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1997-08-12,1997-08-17,1997-08-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-04-25,1998-04-30,1998-04-30
1,2,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-07-19,1998-07-24,1998-07-24
34,15,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-08-21,1998-08-26,1998-08-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2000-07-14,2000-07-19,2000-07-19
21,0,0,0,77,0,0,0,0,0,0,0,0,0.0,6,0,FLOODS,2001-07-17,2001-07-22,2001-07-22
2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2001-07-23,2001-07-28,2001-07-28
7,0,0,11,16,0,0,0,0,0,0,0,0,0.0,6,0,FLOODS,2001-08-31,2001-09-05,2001-09-05
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-05-15,2002-05-20,2002-05-20
0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-07-21,2002-07-26,2002-07-26
0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-07-27,2002-08-01,2002-08-01
56,26,0,34,435,0,0,0,0,0,0,0,0,28.78,158,0,FLOODS,2002-08-10,2002-08-15,2002-08-15
1,0,0,2,5,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-08-20,2002-08-25,2002-08-25
1,0,0,3,0,0,0,0,0,0,0,0,0,3.25,40,0,FLOODS,2002-08-29,2002-09-03,2002-09-03
0,9,0,0,10,0,0,0,0,0,0,0,0,0.0,1,0,FLOODS,2002-09-07,2002-09-12,2002-09-12
2,0,0,1,4,0,0,0,0,0,0,0,0,1.75,2,0,FLOODS,2002-09-13,2002-09-18,2002-09-18
0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-09-19,2002-09-24,2002-09-24
0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2003-06-30,2003-07-05,2003-07-05
0,0,0,0,11,0,0,0,0,0,0,2,0,0.0,2,0,FLOODS,2003-07-09,2003-07-14,2003-07-14
0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,4,0,FLOODS,2003-08-15,2003-08-20,2003-08-20
0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,2,0,FLOODS,2003-08-21,2003-08-26,2003-08-26
0,0,0,1,16,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2003-08-30,2003-09-04,2003-09-04
1,0,0,1,6,0,0,0,0,0,0,0,0,0.0,2,0,FLOODS,2003-09-05,2003-09-10,2003-09-10
8,2,0,1,0,0,0,0,0,0,0,0,0,0.0,15,0,FLOODS,2004-06-06,2004-06-11,2004-06-11
0,0,0,3,1,0,0,0,0,0,0,0,0,0.0,2,0,FLOODS,2004-06-17,2004-06-22,2004-06-22
9,32,19,0,14,0,0,375,1100,0,0,0,0,0.0,0,0,FLOODS,2004-07-04,2004-07-09,2004-07-09
0,0,0,1,18,0,0,0,0,0,0,0,0,2165.0,3,0,FLOODS,2004-07-22,2004-07-27,2004-07-27
7,3,1,17,57,0,0,0,0,0,0,0,0,0.0,9,0,FLOODS,2004-08-10,2004-08-15,2004-08-15
2,1,0,29,87,0,400,0,0,0,0,0,0,0.0,13,0,FLOODS,2004-08-16,2004-08-21,2004-08-21
5,0,0,0,0,26,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2004-08-27,2004-09-01,2004-09-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-02-11,2005-02-16,2005-02-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-05-30,2005-06-04,2005-06-04
2,2,0,1,12,0,0,0,0,0,0,0,0,5.5,21,0,FLOODS,2005-07-12,2005-07-17,2005-07-17
8,2,0,3,54,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-07-18,2005-07-23,2005-07-23
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-07-25,2005-07-30,2005-07-30
3,1,0,1,20,0,0,0,0,0,0,1,0,0.0,1,0,FLOODS,2005-08-01,2005-08-06,2005-08-06
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-08-07,2005-08-12,2005-08-12
0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-08-20,2005-08-25,2005-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15,0,FLOODS,2005-08-28,2005-09-02,2005-09-02
1,0,0,3,6,0,0,0,0,0,0,0,0,0.0,1,0,FLOODS,2005-09-17,2005-09-22,2005-09-22
2,0,0,5,40,0,0,0,0,0,0,0,0,11.349,8,0,FLOODS,2005-09-25,2005-09-30,2005-09-30
0,0,0,8,3,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2006-07-17,2006-07-22,2006-07-22
2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2006-08-19,2006-08-24,2006-08-24
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2006-09-18,2006-09-23,2006-09-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2007-06-23,2007-06-28,2007-06-28
