deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1984-03-28,1984-04-02,1984-04-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1984-04-15,1984-04-20,1984-04-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1985-05-03,1985-05-08,1985-05-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1985-05-09,1985-05-14,1985-05-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1986-04-03,1986-04-08,1986-04-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1986-05-05,1986-05-10,1986-05-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1986-05-22,1986-05-27,1986-05-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1987-04-20,1987-04-25,1987-04-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1987-05-03,1987-05-08,1987-05-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1988-05-09,1988-05-14,1988-05-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1988-05-20,1988-05-25,1988-05-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1990-03-01,1990-03-06,1990-03-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1991-01-09,1991-01-14,1991-01-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1991-04-18,1991-04-23,1991-04-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1991-05-04,1991-05-09,1991-05-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1991-05-28,1991-06-02,1991-06-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1991-12-30,1992-01-04,1992-01-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1992-03-16,1992-03-21,1992-03-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1992-05-26,1992-05-31,1992-05-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1993-01-29,1993-02-03,1993-02-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1993-03-31,1993-04-05,1993-04-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1993-05-01,1993-05-06,1993-05-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1994-04-27,1994-05-02,1994-05-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1994-05-24,1994-05-29,1994-05-29
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1995-01-13,1995-01-18,1995-01-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1995-06-19,1995-06-24,1995-06-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1996-01-21,1996-01-26,1996-01-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1996-03-30,1996-04-04,1996-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1998-02-25,1998-03-02,1998-03-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1998-03-04,1998-03-09,1998-03-09
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2000-04-17,2000-04-22,2000-04-22
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,385,0,STORMS,2002-09-28,2002-10-03,2002-10-03
0,2,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2003-05-02,2003-05-07,2003-05-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,STORMS,2003-05-23,2003-05-28,2003-05-28
0,18,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,STORMS,2004-01-18,2004-01-23,2004-01-23
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2004-01-29,2004-02-03,2004-02-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2004-02-05,2004-02-10,2004-02-10
0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,2004-03-09,2004-03-14,2004-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,STORMS,2004-05-27,2004-06-01,2004-06-01
0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0,0,STORMS,2004-06-24,2004-06-29,2004-06-29
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2005-01-18,2005-01-23,2005-01-23
1,0,0,10,8,0,0,0,0,0,0,0,0,0.0,27,0,STORMS,2005-01-24,2005-01-29,2005-01-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2005-02-28,2005-03-05,2005-03-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2005-03-09,2005-03-14,2005-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2005-03-20,2005-03-25,2005-03-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2005-05-19,2005-05-24,2005-05-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2005-10-14,2005-10-19,2005-10-19
0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,60,0,STORMS,2006-04-23,2006-04-28,2006-04-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,STORMS,2006-05-11,2006-05-16,2006-05-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2006-07-25,2006-07-30,2006-07-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-02-28,2007-03-05,2007-03-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-03-13,2007-03-18,2007-03-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-03-23,2007-03-28,2007-03-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-04-14,2007-04-19,2007-04-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-05-16,2007-05-21,2007-05-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-08-20,2007-08-25,2007-08-25
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-12-12,2007-12-17,2007-12-17
1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2016-02-20,2016-02-25,2016-02-25
