deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
73,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2002-05-14,2002-05-19,2002-05-19
0,0,0,27,0,0,21565,0,0,0,0,0,0,4500.0,0,0,FLOODS,2003-09-07,2003-09-12,2003-09-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2003-12-11,2003-12-16,2003-12-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-01-01,2005-01-06,2005-01-06
0,0,0,0,0,0,780,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-04-24,2005-04-29,2005-04-29
0,0,0,0,0,0,7160,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-05-24,2005-05-29,2005-05-29
11,15,0,0,0,0,200,0,0,0,0,0,0,0.0,0,0,FLOODS,2005-11-14,2005-11-19,2005-11-19
0,0,0,0,0,0,3200,0,0,0,0,0,0,0.0,0,0,FLOODS,2006-04-06,2006-04-11,2006-04-11
4,0,0,0,0,0,3631,107,0,0,0,0,0,620.0,0,0,FLOODS,2006-04-24,2006-04-29,2006-04-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2006-10-07,2006-10-12,2006-10-12
13,2,0,503,354,0,25878,835,1775,0,0,0,0,0.0,1000,0,FLOODS,2006-10-26,2006-10-31,2006-10-31
0,0,0,0,0,0,24848,0,0,0,0,0,0,0.0,0,0,FLOODS,2007-08-20,2007-08-25,2007-08-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2007-12-31,2008-01-05,2008-01-05
0,0,0,0,0,0,4200,0,0,0,0,0,0,0.0,0,0,FLOODS,2008-04-01,2008-04-06,2008-04-06
1,17,0,204,1891,0,18431,0,0,0,0,0,0,6000.0,0,0,FLOODS,2008-06-01,2008-06-06,2008-06-06
0,0,0,0,0,0,3500,0,0,0,0,0,0,1200.0,0,0,FLOODS,2008-11-01,2008-11-06,2008-11-06
21,0,0,3,0,0,91711,2315,0,0,54649746,0,0,3916.7,0,0,FLOODS,2008-11-13,2008-11-18,2008-11-18
