deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,3,1,0,1,0,0,0,0,0,0,0,0,0.0,15,0.0,STORMS,1980-01-30,1980-02-04,1980-02-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1980-03-04,1980-03-09,1980-03-09
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1980-03-25,1980-03-30,1980-03-30
1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1980-03-31,1980-04-05,1980-04-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1980-04-13,1980-04-18,1980-04-18
0,0,0,0,0,0,0,0,0,0,500000,0,0,0.0,0,0.0,STORMS,1980-11-25,1980-11-30,1980-11-30
0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1980-12-12,1980-12-17,1980-12-17
0,0,0,0,0,0,60,0,0,0,0,0,0,0.0,0,0.0,STORMS,1981-01-13,1981-01-18,1981-01-18
0,0,0,0,0,0,0,0,275,0,0,0,0,0.0,0,0.0,STORMS,1981-02-01,1981-02-06,1981-02-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1981-09-28,1981-10-03,1981-10-03
0,0,0,0,0,0,0,0,0,0,7000000,0,0,0.0,0,0.0,STORMS,1982-09-09,1982-09-14,1982-09-14
0,0,0,0,0,0,200,0,0,0,0,0,0,0.0,0,0.0,STORMS,1982-12-08,1982-12-13,1982-12-13
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1983-01-11,1983-01-16,1983-01-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1983-01-19,1983-01-24,1983-01-24
2,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0,0.0,STORMS,1983-02-24,1983-03-01,1983-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1984-03-11,1984-03-16,1984-03-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1984-04-03,1984-04-08,1984-04-08
0,0,0,0,0,0,0,0,22,0,0,0,0,0.0,0,0.0,STORMS,1984-12-14,1984-12-19,1984-12-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1985-02-25,1985-03-02,1985-03-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1986-12-21,1986-12-26,1986-12-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1987-11-02,1987-11-07,1987-11-07
0,0,0,0,0,0,0,0,0,0,100000000,0,0,0.0,0,0.0,STORMS,1989-01-20,1989-01-25,1989-01-25
