deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
21,350,220,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1965-05-18,1965-05-23,1965-05-23
3,24,0,40,0,340,0,0,0,0,0,0,1,2400.0,0,0.0,FLOODS,1990-12-19,1990-12-24,1990-12-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,80.0,FLOODS,1991-02-14,1991-02-19,1991-02-19
150,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1995-01-19,1995-01-24,1995-01-24
730,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1995-08-19,1995-08-24,1995-08-24
43,87,15,0,0,0,0,0,0,0,0,2,0,70.0,0,0.0,FLOODS,1995-12-05,1995-12-10,1995-12-10
25,0,0,100,0,0,0,0,0,550000,0,0,0,0.0,0,0.0,FLOODS,1996-03-04,1996-03-09,1996-03-09
60,0,0,19,0,0,0,0,0,44000,0,0,0,0.0,0,0.0,FLOODS,1997-09-19,1997-09-24,1997-09-24
16,19,2,24,42,0,0,0,0,0,0,0,0,0.0,0,120.0,FLOODS,1997-09-28,1997-10-03,1997-10-03
0,4,0,0,12,0,0,0,270,0,0,0,0,6000.0,0,200.0,FLOODS,2000-10-25,2000-10-30,2000-10-30
0,0,0,0,240,0,0,0,0,0,0,1,0,0.0,0,4.0,FLOODS,2000-12-17,2000-12-22,2000-12-22
0,42,0,20,60,0,0,0,0,0,0,2,2,0.0,0,80.0,FLOODS,2002-11-17,2002-11-22,2002-11-22
125,198,21,17,34,0,0,0,0,0,0,3,2,50.0,0,9000.0,FLOODS,2002-11-24,2002-11-29,2002-11-29
11,58,0,0,80,0,40,0,380,0,0,0,0,0.0,0,0.0,FLOODS,2003-11-20,2003-11-25,2003-11-25
0,3,0,0,2,0,0,0,6,0,0,7,0,0.0,0,5.0,FLOODS,2004-11-01,2004-11-06,2004-11-06
0,17,0,0,0,0,0,0,314,0,0,1,5,8400.0,0,400.0,FLOODS,2005-12-27,2006-01-01,2006-01-01
0,0,0,4,4,0,0,0,0,0,0,1,0,0.0,0,20.0,FLOODS,2007-02-19,2007-02-24,2007-02-24
0,0,0,0,14,0,3,0,0,0,0,2,0,0.0,0,100.0,FLOODS,2008-09-22,2008-09-27,2008-09-27
