deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
7,5,0,36,6,0,675,0,0,0,0.0,0,0,0.0,50,0,FLOODS,1971-06-14,1971-06-19,1971-06-19
25,0,0,17,107,0,0,0,0,0,0.0,0,0,0.0,261,0,FLOODS,1971-06-22,1971-06-27,1971-06-27
31,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,900,0,FLOODS,1971-07-02,1971-07-07,1971-07-07
6,0,0,2,0,0,135,0,0,0,60000.0,0,0,0.0,0,0,FLOODS,1971-07-27,1971-08-01,1971-08-01
1,0,0,0,16,0,0,0,0,0,0.0,0,0,500.0,0,0,FLOODS,1971-08-12,1971-08-17,1971-08-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1971-08-21,1971-08-26,1971-08-26
27,0,0,14,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1971-09-07,1971-09-12,1971-09-12
15,1,7,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-06-19,1972-06-24,1972-06-24
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-06-27,1972-07-02,1972-07-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-07-05,1972-07-10,1972-07-10
29,67,0,30,0,0,250,0,250,0,260000.0,0,0,112.0,3,0,FLOODS,1972-07-28,1972-08-02,1972-08-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,85.0,0,0,FLOODS,1972-08-13,1972-08-18,1972-08-18
0,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-09-16,1972-09-21,1972-09-21
0,0,0,7,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1972-10-07,1972-10-12,1972-10-12
2,0,0,0,35,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1973-05-20,1973-05-25,1973-05-25
3,0,0,40,0,0,7200,0,0,0,0.0,0,0,203.0,0,0,FLOODS,1973-07-02,1973-07-07,1973-07-07
1,0,0,19,3,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1973-08-01,1973-08-06,1973-08-06
1,0,4,70,25,0,0,0,0,0,0.0,0,0,813.0,0,0,FLOODS,1973-08-11,1973-08-16,1973-08-16
8,0,0,102,0,0,0,0,0,0,0.0,0,0,203.0,0,0,FLOODS,1973-09-19,1973-09-24,1973-09-24
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1973-10-04,1973-10-09,1973-10-09
4,12,0,60,0,0,0,0,0,0,0.0,0,0,170.0,0,0,FLOODS,1973-10-16,1973-10-21,1973-10-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,6,0,FLOODS,1974-01-23,1974-01-28,1974-01-28
0,0,0,0,0,0,0,0,0,0,53000.0,0,0,455.0,0,0,FLOODS,1974-06-27,1974-07-02,1974-07-02
0,0,0,6,0,0,0,0,0,0,200000.0,0,0,0.0,15,0,FLOODS,1974-07-03,1974-07-08,1974-07-08
6,0,0,68,0,0,124,0,90,0,0.0,0,0,207.0,7,0,FLOODS,1974-07-28,1974-08-02,1974-08-02
3,0,0,211,80,0,1620,0,0,0,3000000.0,0,0,6351.0,0,0,FLOODS,1974-08-03,1974-08-08,1974-08-08
3,0,0,15,0,0,0,0,0,0,0.0,0,0,1731.0,0,0,FLOODS,1974-08-11,1974-08-16,1974-08-16
0,0,0,140,0,0,2680,0,0,0,0.0,0,0,4103.0,0,0,FLOODS,1974-08-27,1974-09-01,1974-09-01
0,1,0,43,0,0,5701,0,84,0,1.0,0,0,305.0,3,45,FLOODS,1974-09-02,1974-09-07,1974-09-07
37,4,0,73,0,0,3260,0,0,0,0.0,0,0,897.0,8,1000,FLOODS,1974-09-08,1974-09-13,1974-09-13
19,0,0,57,0,0,128,0,0,0,443000.0,0,0,2799.0,0,0,FLOODS,1974-09-16,1974-09-21,1974-09-21
0,0,0,105,16,0,0,0,0,0,60000.0,0,0,0.0,0,0,FLOODS,1974-10-08,1974-10-13,1974-10-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,FLOODS,1975-06-12,1975-06-17,1975-06-17
