deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,3,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,STORMS,1971-04-07,1971-04-12,1971-04-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-04-29,1971-05-04,1971-05-04
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-06-06,1971-06-11,1971-06-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1971-11-20,1971-11-25,1971-11-25
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-03-05,1972-03-10,1972-03-10
3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-03-30,1972-04-04,1972-04-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-04-10,1972-04-15,1972-04-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-04-17,1972-04-22,1972-04-22
3,1,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,STORMS,1972-05-19,1972-05-24,1972-05-24
0,0,0,0,50,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-05-26,1972-05-31,1972-05-31
0,0,0,0,30,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-06-06,1972-06-11,1972-06-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1972-10-30,1972-11-04,1972-11-04
0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,1,0,STORMS,1973-01-08,1973-01-13,1973-01-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-01-22,1973-01-27,1973-01-27
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-02-16,1973-02-21,1973-02-21
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-04-02,1973-04-07,1973-04-07
3,0,0,0,2,0,120,0,0,0,600000.0,0,0,0.0,0,0,STORMS,1973-04-24,1973-04-29,1973-04-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-04-30,1973-05-05,1973-05-05
1,5,0,0,27,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-05-12,1973-05-17,1973-05-17
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,STORMS,1973-05-30,1973-06-04,1973-06-04
5,0,0,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-06-06,1973-06-11,1973-06-11
0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-08-23,1973-08-28,1973-08-28
1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-09-05,1973-09-10,1973-09-10
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-11-16,1973-11-21,1973-11-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1973-11-22,1973-11-27,1973-11-27
0,0,0,1,0,0,0,0,0,0,3000.0,0,0,0.0,0,0,STORMS,1974-03-27,1974-04-01,1974-04-01
1,2,0,0,7,0,0,0,0,0,250000.0,0,0,0.0,0,0,STORMS,1974-04-05,1974-04-10,1974-04-10
1,51,0,0,100,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-04-30,1974-05-05,1974-05-05
1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-05-14,1974-05-19,1974-05-19
1,0,0,70,7,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-05-20,1974-05-25,1974-05-25
0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1974-07-09,1974-07-14,1974-07-14
10,0,0,0,0,0,0,0,0,0,30000.0,0,0,0.0,0,0,STORMS,1975-03-17,1975-03-22,1975-03-22
5,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-04-22,1975-04-27,1975-04-27
7,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,250,0,STORMS,1975-04-28,1975-05-03,1975-05-03
2,0,0,0,9,0,0,0,0,0,8500.0,0,0,0.0,10,0,STORMS,1975-05-15,1975-05-20,1975-05-20
5,22,0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-05-22,1975-05-27,1975-05-27
0,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-06-04,1975-06-09,1975-06-09
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-07-06,1975-07-11,1975-07-11
3,3,0,1,2,0,0,0,0,0,0.0,0,0,15.26,0,0,STORMS,1975-08-31,1975-09-05,1975-09-05
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-09-09,1975-09-14,1975-09-14
0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1975-10-22,1975-10-27,1975-10-27
4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,4,0,STORMS,1976-02-17,1976-02-22,1976-02-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,18000.0,5,0,STORMS,1976-03-07,1976-03-12,1976-03-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,5000.0,0,0,STORMS,1976-04-04,1976-04-09,1976-04-09
1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1976-05-01,1976-05-06,1976-05-06
2,1,0,3,0,0,0,0,0,0,0.0,0,0,0.0,6,0,STORMS,1976-05-07,1976-05-12,1976-05-12
0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,4,0,STORMS,1977-03-25,1977-03-30,1977-03-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,1500.0,0,0,STORMS,1977-04-01,1977-04-06,1977-04-06
2,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-04-08,1977-04-13,1977-04-13
1,0,0,19,0,0,0,0,0,0,350000.0,0,0,0.0,7,0,STORMS,1977-04-28,1977-05-03,1977-05-03
2,0,0,3,0,0,0,0,0,0,0.0,0,0,0.0,8,0,STORMS,1977-05-04,1977-05-09,1977-05-09
3,4,0,0,28,0,1460,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-05-27,1977-06-01,1977-06-01
0,0,0,0,30,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-06-04,1977-06-09,1977-06-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-07-29,1977-08-03,1977-08-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-10-05,1977-10-10,1977-10-10
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,10,0,STORMS,1977-10-18,1977-10-23,1977-10-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-10-31,1977-11-05,1977-11-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-11-06,1977-11-11,1977-11-11
0,0,0,0,0,0,400,0,0,0,0.0,0,0,0.0,0,0,STORMS,1977-12-25,1977-12-30,1977-12-30
4,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-01-01,1978-01-06,1978-01-06
0,0,0,0,0,0,0,0,0,0,80000.0,0,0,0.0,0,0,STORMS,1978-03-30,1978-04-04,1978-04-04
4,2,0,1,23,0,0,0,0,0,0.0,0,0,0.0,1,0,STORMS,1978-04-17,1978-04-22,1978-04-22
0,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-05-17,1978-05-22,1978-05-22
0,0,0,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-05-28,1978-06-02,1978-06-02
3,1,0,1,10,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-06-04,1978-06-09,1978-06-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,50,STORMS,1978-11-02,1978-11-07,1978-11-07
0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0.0,0,0,STORMS,1978-11-22,1978-11-27,1978-11-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-11-29,1978-12-04,1978-12-04
1,0,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1978-12-15,1978-12-20,1978-12-20
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-02-28,1979-03-05,1979-03-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-03-30,1979-04-04,1979-04-04
0,0,0,0,0,0,0,0,0,0,35000.0,0,0,0.0,3,0,STORMS,1979-04-19,1979-04-24,1979-04-24
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-04-29,1979-05-04,1979-05-04
0,0,0,0,9,0,0,0,0,0,15000.0,0,0,0.0,0,0,STORMS,1979-05-15,1979-05-20,1979-05-20
0,0,0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-06-13,1979-06-18,1979-06-18
0,0,0,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1979-10-24,1979-10-29,1979-10-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1980-02-17,1980-02-22,1980-02-22
5,3,0,0,57,0,0,0,0,0,0.0,0,0,0.0,15,0,STORMS,1980-04-30,1980-05-05,1980-05-05
0,0,0,0,20,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1980-05-09,1980-05-14,1980-05-14
0,0,0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1980-05-27,1980-06-01,1980-06-01
2,0,0,35,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1980-08-21,1980-08-26,1980-08-26
14,2,0,8,0,0,0,0,0,0,0.0,0,0,0.0,56,0,STORMS,1980-08-28,1980-09-02,1980-09-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1980-10-13,1980-10-18,1980-10-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1980-11-22,1980-11-27,1980-11-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-01-31,1981-02-05,1981-02-05
0,0,0,0,100,0,0,0,0,0,1800000.0,0,0,0.0,0,0,STORMS,1981-02-10,1981-02-15,1981-02-15
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-03-30,1981-04-04,1981-04-04
0,0,0,1,0,0,0,0,0,0,80000.0,1,0,0.0,0,0,STORMS,1981-04-09,1981-04-14,1981-04-14
0,0,0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-04-16,1981-04-21,1981-04-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-04-25,1981-04-30,1981-04-30
2,0,0,0,0,0,0,0,0,0,3000.0,0,0,0.0,0,0,STORMS,1981-05-11,1981-05-16,1981-05-16
0,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,12,0,STORMS,1981-05-20,1981-05-25,1981-05-25
0,0,0,0,25,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-06-10,1981-06-15,1981-06-15
0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-10-30,1981-11-04,1981-11-04
0,0,0,0,0,0,679,0,0,0,0.0,0,0,2032.0,0,0,STORMS,1981-11-13,1981-11-18,1981-11-18
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1981-12-03,1981-12-08,1981-12-08
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1982-03-19,1982-03-24,1982-03-24
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,7,0,STORMS,1982-04-14,1982-04-19,1982-04-19
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,11,0,STORMS,1982-05-06,1982-05-11,1982-05-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1982-05-22,1982-05-27,1982-05-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1982-05-31,1982-06-05,1982-06-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1982-06-23,1982-06-28,1982-06-28
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1982-10-14,1982-10-19,1982-10-19
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1982-11-01,1982-11-06,1982-11-06
0,0,0,0,1,0,0,0,0,0,15000.0,1,0,0.0,0,0,STORMS,1983-03-22,1983-03-27,1983-03-27
0,0,0,0,0,0,0,0,0,0,300000.0,18,0,0.0,0,0,STORMS,1983-06-08,1983-06-13,1983-06-13
3,0,0,0,0,0,10,0,0,0,0.0,0,0,0.0,0,0,STORMS,1983-10-24,1983-10-29,1983-10-29
2,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1983-12-26,1983-12-31,1983-12-31
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1984-01-16,1984-01-21,1984-01-21
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1984-02-29,1984-03-05,1984-03-05
2,0,0,0,344,0,0,0,0,0,0.0,2,0,0.0,0,0,STORMS,1984-03-26,1984-03-31,1984-03-31
2,10,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1984-04-08,1984-04-13,1984-04-13
1,0,0,0,9,0,0,0,0,0,235000.0,2,0,0.0,0,0,STORMS,1984-04-16,1984-04-21,1984-04-21
0,0,0,32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1984-04-25,1984-04-30,1984-04-30
0,0,0,0,0,0,0,0,0,0,1200000.0,0,0,0.0,0,0,STORMS,1984-05-13,1984-05-18,1984-05-18
0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,STORMS,1985-03-28,1985-04-02,1985-04-02
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1985-04-05,1985-04-10,1985-04-10
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1985-04-11,1985-04-16,1985-04-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,24,0,STORMS,1985-05-01,1985-05-06,1985-05-06
1,0,0,20,48,0,0,0,0,0,7260000.0,0,0,0.0,4,0,STORMS,1985-05-09,1985-05-14,1985-05-14
1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1985-06-04,1985-06-09,1985-06-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1985-06-11,1985-06-16,1985-06-16
1,0,0,5,0,0,123,0,0,0,0.0,2,0,0.0,5,0,STORMS,1985-06-18,1985-06-23,1985-06-23
0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,10,0,STORMS,1985-09-30,1985-10-05,1985-10-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1985-11-08,1985-11-13,1985-11-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1986-01-12,1986-01-17,1986-01-17
3,25,0,0,1,0,0,0,0,0,10000.0,0,0,0.0,0,0,STORMS,1986-04-20,1986-04-25,1986-04-25
8,0,0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1986-04-26,1986-05-01,1986-05-01
0,0,0,9,0,0,0,0,0,0,0.0,0,0,0.0,15,0,STORMS,1986-05-29,1986-06-03,1986-06-03
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1986-06-04,1986-06-09,1986-06-09
0,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1986-10-25,1986-10-30,1986-10-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1986-11-08,1986-11-13,1986-11-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1986-11-24,1986-11-29,1986-11-29
0,0,0,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,STORMS,1987-03-24,1987-03-29,1987-03-29
