deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1992-05-02,1992-05-07,1992-05-07
0,0,0,0,12,0,60,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1992-05-30,1992-06-04,1992-06-04
100,84,40,613,100,11205,500,0,95,510000.0,2550000.0,0,0,0.0,0,0.0,FLOODS,1992-09-01,1992-09-06,1992-09-06
0,0,0,0,5,0,25,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1992-09-23,1992-09-28,1992-09-28
0,0,0,0,51,170,1468,0,0,0.0,0.0,0,0,0.0,0,1000.0,FLOODS,1992-10-04,1992-10-09,1992-10-09
0,0,0,0,0,0,250,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-05-30,1993-06-04,1993-06-04
0,0,0,0,18,0,90,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-07-02,1993-07-07,1993-07-07
0,0,0,0,0,0,12581,0,305,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-08-10,1993-08-15,1993-08-15
0,0,0,121,200,605,1000,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1993-09-16,1993-09-21,1993-09-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,20966.88,0,20000.0,FLOODS,1993-10-01,1993-10-06,1993-10-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1994-07-01,1994-07-06,1994-07-06
0,0,0,0,70,0,350,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1994-07-15,1994-07-20,1994-07-20
0,0,0,0,20,0,100,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1994-10-07,1994-10-12,1994-10-12
0,0,0,0,12,0,60,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-06-20,1995-06-25,1995-06-25
0,0,0,0,0,0,4000,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-08-01,1995-08-06,1995-08-06
0,0,0,0,60,0,300,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-08-07,1995-08-12,1995-08-12
0,0,0,0,16,0,80,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-08-24,1995-08-29,1995-08-29
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,223.64,0,0.0,FLOODS,1995-08-31,1995-09-05,1995-09-05
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-09-08,1995-09-13,1995-09-13
0,0,0,0,25,0,0,125,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-09-17,1995-09-22,1995-09-22
4,424,0,6,0,37,27482,0,3625,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-10-04,1995-10-09,1995-10-09
0,0,0,0,0,150,0,0,0,0.0,0.0,0,0,279.55,0,0.0,FLOODS,1995-10-19,1995-10-24,1995-10-24
0,0,0,0,0,0,600,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1995-11-23,1995-11-28,1995-11-28
1,0,0,0,12,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1996-05-18,1996-05-23,1996-05-23
0,0,0,0,0,0,7500,0,0,0.0,0.0,0,0,349.448,0,0.0,FLOODS,1996-07-17,1996-07-22,1996-07-22
0,0,101,258,611,6520,2486,0,17213,0.0,0.0,0,0,4505.782112000001,0,30.0,FLOODS,1996-07-27,1996-08-01,1996-08-01
1,0,0,0,0,1390,0,0,0,0.0,0.0,0,0,48.92,0,0.0,FLOODS,1996-08-10,1996-08-15,1996-08-15
0,0,0,0,11,0,55,0,0,7239.71,63000.0,0,0,0.0,0,0.0,FLOODS,1996-10-07,1996-10-12,1996-10-12
0,0,0,4,8,20,7298,0,79,1265.51,11000.0,0,0,0.0,0,0.0,FLOODS,1996-10-14,1996-10-19,1996-10-19
0,0,0,1,53,5,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1996-11-18,1996-11-23,1996-11-23
0,0,0,0,0,0,600,0,0,0.0,0.0,0,0,7338.4,0,0.0,FLOODS,1996-11-24,1996-11-29,1996-11-29
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1997-03-11,1997-03-16,1997-03-16
0,2,0,20,14,113,70,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1997-06-28,1997-07-03,1997-07-03
0,0,0,0,0,0,0,0,25,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1997-07-10,1997-07-15,1997-07-15
0,0,0,5,0,25,0,0,180,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1997-10-10,1997-10-15,1997-10-15
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1998-03-04,1998-03-09,1998-03-09
0,0,0,5,33,0,500,0,260,47710.0,500000.0,0,0,0.0,0,0.0,FLOODS,1998-06-01,1998-06-06,1998-06-06
0,0,0,0,0,0,0,0,68,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1998-09-15,1998-09-20,1998-09-20
4,108,0,2243,638,181435,40630,0,6250,1082538.0,11928370.0,0,1,6685.0,0,16000.0,FLOODS,1998-10-22,1998-10-27,1998-10-27
0,0,0,0,0,0,5200,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1999-01-06,1999-01-11,1999-01-11
0,0,0,0,0,0,0,0,66,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1999-05-09,1999-05-14,1999-05-14
2,0,0,0,0,0,2100,0,0,0.0,0.0,0,0,0.0,0,0.0,FLOODS,1999-07-13,1999-07-18,1999-07-18
