deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1867-11-18,1867-11-23,1867-11-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1896-11-28,1896-12-03,1896-12-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-10-18,1977-10-23,1977-10-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-10-07,1980-10-12,1980-10-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-02,1981-05-07,1981-05-07
0,0,0,0,0,0,0,0,0,0,1000000,0,0,0.0,0,0,FLOODS,1982-01-01,1982-01-06,1982-01-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,18,FLOODS,1984-11-09,1984-11-14,1984-11-14
0,5,0,153,0,0,0,0,142,0,0,3,0,0.0,120,0,FLOODS,1986-09-20,1986-09-25,1986-09-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-09-26,1986-10-01,1986-10-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-10-24,1988-10-29,1988-10-29
0,0,0,12,0,72,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-10-10,1990-10-15,1990-10-15
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-08-26,1991-08-31,1991-08-31
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-11-20,1991-11-25,1991-11-25
1,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-09-21,1992-09-26,1992-09-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-09-13,1993-09-18,1993-09-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1995-08-25,1995-08-30,1995-08-30
1,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1998-09-01,1998-09-06,1998-09-06
5,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1999-09-17,1999-09-22,1999-09-22
0,0,0,0,0,0,0,0,0,51000,137000,0,0,0.0,0,0,FLOODS,2004-08-04,2004-08-09,2004-08-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2004-11-29,2004-12-04,2004-12-04
0,1,0,0,0,3,0,0,0,0,0,0,1,0.0,0,0,FLOODS,2005-07-22,2005-07-27,2005-07-27
0,3,0,14,238,5,0,0,0,0,0,2,0,0.0,0,0,FLOODS,2005-12-05,2005-12-10,2005-12-10
0,0,0,8,27,0,0,0,9,0,2000000,0,0,0.0,0,0,FLOODS,2007-08-15,2007-08-20,2007-08-20
0,0,0,2,28,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2008-08-18,2008-08-23,2008-08-23
0,0,0,1,17,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2008-09-18,2008-09-23,2008-09-23
0,0,0,0,0,0,20000,0,0,0,5000000,1,0,0.0,0,0,FLOODS,2008-10-14,2008-10-19,2008-10-19
0,0,0,4,28,4,0,0,0,106400,368790,0,0,0.0,0,0,FLOODS,2010-07-03,2010-07-08,2010-07-08
0,0,0,23,385,0,20000,0,0,37500000,100000000,0,0,0.0,0,0,FLOODS,2011-04-10,2011-04-15,2011-04-15
0,0,0,2,27,2,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2011-08-01,2011-08-06,2011-08-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,2012-05-08,2012-05-13,2012-05-13
0,0,0,0,0,0,0,0,0,37200,100000,0,0,0.0,0,0,FLOODS,2013-09-01,2013-09-06,2013-09-06
9,37,3,61,601,16885,58015,0,2325,122759000,300000000,6,4,69.0,434,31000,FLOODS,2013-12-24,2013-12-29,2013-12-29
