deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1849-01-24,1849-01-29,1849-01-29
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1853-06-24,1853-06-29,1853-06-29
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1854-01-15,1854-01-20,1854-01-20
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1866-09-12,1866-09-17,1866-09-17
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1877-05-10,1877-05-15,1877-05-15
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1883-03-24,1883-03-29,1883-03-29
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1892-05-16,1892-05-21,1892-05-21
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1893-08-27,1893-09-01,1893-09-01
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1895-04-18,1895-04-23,1895-04-23
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1899-10-19,1899-10-24,1899-10-24
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1905-08-04,1905-08-09,1905-08-09
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1906-07-01,1906-07-06,1906-07-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1906-11-28,1906-12-03,1906-12-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1907-06-27,1907-07-02,1907-07-02
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1907-07-25,1907-07-30,1907-07-30
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1908-01-01,1908-01-06,1908-01-06
0,0,0,0,0,3000,3000,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1915-02-11,1915-02-16,1915-02-16
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1919-04-09,1919-04-14,1919-04-14
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1925-12-22,1925-12-27,1925-12-27
1,0,0,51,51,0,0,0,0,1000000.0,0,0,0,0.0,0,0,FLOODS,1926-03-16,1926-03-21,1926-03-21
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1934-12-13,1934-12-18,1934-12-18
500,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1937-05-29,1937-06-03,1937-06-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1952-07-13,1952-07-18,1952-07-18
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1954-03-27,1954-04-01,1954-04-01
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1956-05-27,1956-06-01,1956-06-01
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1956-07-10,1956-07-15,1956-07-15
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1956-07-20,1956-07-25,1956-07-25
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1958-10-07,1958-10-12,1958-10-12
0,0,0,0,0,1600,1600,0,0,1500000.0,0,0,0,0.0,0,0,FLOODS,1960-05-22,1960-05-27,1960-05-27
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1962-06-27,1962-07-02,1962-07-02
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1962-10-30,1962-11-04,1962-11-04
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1963-03-30,1963-04-04,1963-04-04
2,0,0,0,0,18000,36000,0,0,1101100.0,0,0,0,0.0,0,0,FLOODS,1964-03-22,1964-03-27,1964-03-27
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1966-11-28,1966-12-03,1966-12-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1971-09-06,1971-09-11,1971-09-11
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1972-08-26,1972-08-31,1972-08-31
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1972-10-09,1972-10-14,1972-10-14
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1974-10-17,1974-10-22,1974-10-22
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1977-08-20,1977-08-25,1977-08-25
0,0,0,0,0,0,0,0,0,2000000.0,0,0,0,0.0,0,0,FLOODS,1979-11-27,1979-12-02,1979-12-02
11,0,0,0,382,13000,13000,200,0,11900000.0,0,0,0,0.0,0,0,FLOODS,1983-09-23,1983-09-28,1983-09-28
0,0,0,0,0,0,0,0,0,2100000.0,0,0,0,0.0,0,0,FLOODS,1985-04-10,1985-04-15,1985-04-15
0,0,0,0,0,0,0,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,1985-05-02,1985-05-07,1985-05-07
0,0,0,0,0,0,0,0,0,100000.0,0,0,0,0.0,0,0,FLOODS,1988-07-31,1988-08-05,1988-08-05
0,0,0,0,0,0,0,0,0,100000.0,0,0,0,0.0,0,0,FLOODS,1989-05-28,1989-06-02,1989-06-02
15,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1989-07-29,1989-08-03,1989-08-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1990-04-05,1990-04-10,1990-04-10
1,0,0,0,0,0,0,0,0,200000.0,0,0,0,0.0,0,0,FLOODS,1991-01-09,1991-01-14,1991-01-14
0,0,0,0,0,0,0,0,0,100000.0,0,0,0,0.0,0,0,FLOODS,1991-02-01,1991-02-06,1991-02-06
0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,1991-03-09,1991-03-14,1991-03-14
0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,1992-10-07,1992-10-12,1992-10-12
5,0,0,0,0,46000,108000,29000,0,3500000.0,0,0,0,0.0,0,0,FLOODS,1993-06-12,1993-06-17,1993-06-17
14,0,0,0,0,3500,3500,3500,0,3000000.0,0,0,0,0.0,0,0,FLOODS,1993-12-29,1994-01-03,1994-01-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,1994-09-19,1994-09-24,1994-09-24
3,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,1997-04-26,1997-05-01,1997-05-01
0,0,0,0,0,0,0,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,1998-02-16,1998-02-21,1998-02-21
28,0,0,6000,0,30000,38000,30000,0,2000000.0,0,0,0,0.0,0,0,FLOODS,1998-04-27,1998-05-02,1998-05-02
0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,1998-12-11,1998-12-16,1998-12-16
0,0,0,0,0,0,10000,0,0,0.0,0,5,0,0.0,0,0,FLOODS,1999-04-14,1999-04-19,1999-04-19
4,0,0,0,0,38000,78000,40000,0,86456000.0,0,0,0,0.0,0,0,FLOODS,1999-04-23,1999-04-28,1999-04-28
0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,1999-08-07,1999-08-12,1999-08-12
2,0,0,0,0,5000,5000,0,0,100000.0,0,0,0,0.0,0,0,FLOODS,2000-12-06,2000-12-11,2000-12-11
0,0,0,0,8,40,40,40,0,60000.0,0,0,0,0.0,0,0,FLOODS,2001-01-09,2001-01-14,2001-01-14
0,0,0,0,1300,2800,35800,0,0,1501500.0,11000000,0,0,0.0,0,0,FLOODS,2001-04-15,2001-04-20,2001-04-20
1,0,0,0,0,2508,2508,400,0,0.0,0,0,0,0.0,0,0,FLOODS,2001-06-20,2001-06-25,2001-06-25
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,2002-02-23,2002-02-28,2002-02-28
0,0,0,0,0,0,0,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,2002-03-20,2002-03-25,2002-03-25
0,0,0,0,0,0,0,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,2002-10-07,2002-10-12,2002-10-12
0,1,0,9,7,3400,6402,0,0,2050000.0,0,0,0,0.0,0,0,FLOODS,2002-12-17,2002-12-22,2002-12-22
1,0,0,6,0,0,0,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,2003-02-17,2003-02-22,2003-02-22
6,0,0,0,0,0,3,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,2003-05-18,2003-05-23,2003-05-23
2,0,0,30,2,150000,150000,600,0,200000.0,0,0,0,0.0,0,0,FLOODS,2003-06-16,2003-06-21,2003-06-21
2,0,0,0,0,5000,5000,5000,0,0.0,0,0,0,0.0,0,0,FLOODS,2003-11-06,2003-11-11,2003-11-11
1,0,0,0,200,10000,20000,10000,0,50000.0,0,0,0,0.0,0,0,FLOODS,2004-03-05,2004-03-10,2004-03-10
2,0,0,0,0,4000,4000,4000,0,0.0,0,0,0,0.0,0,0,FLOODS,2004-03-20,2004-03-25,2004-03-25
10,0,0,0,0,600,1200,600,0,20000.0,0,0,0,0.0,0,0,FLOODS,2004-06-05,2004-06-10,2004-06-10
0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,2004-08-02,2004-08-07,2004-08-07
2,0,0,0,0,0,0,0,0,100000.0,0,0,0,0.0,0,0,FLOODS,2005-04-20,2005-04-25,2005-04-25
1,0,0,0,0,2493,13000,0,0,50000.0,0,0,0,0.0,0,0,FLOODS,2005-08-01,2005-08-06,2005-08-06
1,0,0,0,0,0,2493,0,0,0.0,0,0,0,0.0,0,0,FLOODS,2005-08-19,2005-08-24,2005-08-24
1,0,0,0,0,0,0,0,0,59000000.0,0,0,0,0.0,0,0,FLOODS,2005-09-28,2005-10-03,2005-10-03
0,0,0,0,0,400,800,400,0,0.0,0,0,0,0.0,0,0,FLOODS,2006-04-12,2006-04-17,2006-04-17
1,0,0,0,0,0,300,0,0,0.0,0,0,0,0.0,0,0,FLOODS,2006-04-27,2006-05-02,2006-05-02
2,0,0,30,0,3900,4800,3000,0,30530000.0,0,0,0,0.0,0,0,FLOODS,2007-02-01,2007-02-06,2007-02-06
0,0,0,0,0,0,0,0,0,65000000.0,0,0,0,0.0,0,0,FLOODS,2007-02-10,2007-02-15,2007-02-15
6,0,0,0,0,2000,2000,0,0,500000.0,0,0,0,0.0,0,0,FLOODS,2007-02-27,2007-03-04,2007-03-04
8,0,0,3,0,0,0,0,0,7007000.0,0,0,0,0.0,0,0,FLOODS,2007-03-06,2007-03-11,2007-03-11
1,0,0,0,0,947,947,0,0,0.0,0,0,0,0.0,0,0,FLOODS,2007-06-02,2007-06-07,2007-06-07
0,0,0,0,0,3000,3000,3000,0,0.0,0,0,0,0.0,0,0,FLOODS,2007-06-24,2007-06-29,2007-06-29
2,0,0,0,24,12000,12000,5000,0,500000.0,0,0,0,0.0,0,0,FLOODS,2007-08-10,2007-08-15,2007-08-15
0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0.0,0,0,FLOODS,2008-02-09,2008-02-14,2008-02-14
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,2009-01-03,2009-01-08,2009-01-08
16,0,0,67,50,4000,8000,1070,0,1500000.0,0,0,0,0.0,0,0,FLOODS,2009-02-12,2009-02-17,2009-02-17
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,FLOODS,2010-11-27,2010-12-02,2010-12-02
