deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1866-03-10,1866-03-15,1866-03-15
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1871-03-21,1871-03-26,1871-03-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1883-07-02,1883-07-07,1883-07-07
147,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1889-03-13,1889-03-18,1889-03-18
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1905-06-30,1905-07-05,1905-07-05
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1912-01-28,1912-02-02,1912-02-02
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1912-11-22,1912-11-27,1912-11-27
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1922-04-16,1922-04-21,1922-04-21
20,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1929-12-08,1929-12-13,1929-12-13
360,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1931-02-16,1931-02-21,1931-02-21
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1935-02-09,1935-02-14,1935-02-14
3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1939-03-25,1939-03-30,1939-03-30
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1940-02-04,1940-02-09,1940-02-09
12,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1941-02-19,1941-02-24,1941-02-24
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1942-02-19,1942-02-24,1942-02-24
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1943-02-09,1943-02-14,1943-02-14
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1943-03-06,1943-03-11,1943-03-11
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1948-01-21,1948-01-26,1948-01-26
2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1948-03-13,1948-03-18,1948-03-18
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1948-12-04,1948-12-09,1948-12-09
5,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1950-02-21,1950-02-26,1950-02-26
2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1951-02-26,1951-03-03,1951-03-03
46,0,0,0,0,800,1600,0,0,2002000.0,0,0,0,0.0,0,0,STORMS,1952-01-28,1952-02-02,1952-02-02
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1955-03-04,1955-03-09,1955-03-09
2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1956-01-29,1956-02-03,1956-02-03
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1957-12-01,1957-12-06,1957-12-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1958-01-07,1958-01-12,1958-01-12
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1958-01-19,1958-01-24,1958-01-24
1,0,0,0,0,0,0,0,0,7000.0,0,0,0,0.0,0,0,STORMS,1959-01-18,1959-01-23,1959-01-23
0,0,0,0,0,1600,3200,0,0,1501500.0,0,0,0,0.0,0,0,STORMS,1959-02-26,1959-03-03,1959-03-03
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,STORMS,1959-12-20,1959-12-25,1959-12-25
