deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1899-12-30,1900-01-04,1900-01-04
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1966-01-01,1966-01-06,1966-01-06
0,0,0,0,1,0,0,0,0,2500,5000.0,0,0,0,0,0,FLOODS,1966-05-08,1966-05-13,1966-05-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1966-06-06,1966-06-11,1966-06-11
1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,FLOODS,1966-06-17,1966-06-22,1966-06-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1966-09-19,1966-09-24,1966-09-24
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1966-11-25,1966-11-30,1966-11-30
0,0,0,0,0,0,0,0,0,50000,100000.0,0,0,0,0,0,FLOODS,1967-08-08,1967-08-13,1967-08-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1967-11-02,1967-11-07,1967-11-07
0,0,0,0,1,0,0,0,0,300,600.0,0,0,0,0,0,FLOODS,1968-08-07,1968-08-12,1968-08-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1969-01-31,1969-02-05,1969-02-05
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1969-08-18,1969-08-23,1969-08-23
0,0,0,0,3,0,0,0,0,1500,3000.0,0,0,0,0,0,FLOODS,1969-09-22,1969-09-27,1969-09-27
0,0,0,0,0,5000,0,0,0,7500,15000.0,0,0,0,0,0,FLOODS,1969-11-17,1969-11-22,1969-11-22
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-07-13,1970-07-18,1970-07-18
0,0,0,0,0,0,20000,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-07-22,1970-07-27,1970-07-27
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-07-28,1970-08-02,1970-08-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-08-03,1970-08-08,1970-08-08
0,0,0,0,0,0,0,0,0,100000,200000.0,0,0,0,0,0,FLOODS,1970-08-11,1970-08-16,1970-08-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-08-21,1970-08-26,1970-08-26
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-08-28,1970-09-02,1970-09-02
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-09-04,1970-09-09,1970-09-09
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-11-09,1970-11-14,1970-11-14
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1970-12-06,1970-12-11,1970-12-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1971-08-12,1971-08-17,1971-08-17
0,0,0,0,0,0,0,0,0,1000,2000.0,0,0,0,0,0,FLOODS,1971-09-10,1971-09-15,1971-09-15
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1971-10-03,1971-10-08,1971-10-08
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1971-10-12,1971-10-17,1971-10-17
0,0,0,0,0,0,0,0,400,2569350,5138700.0,0,0,0,0,0,FLOODS,1971-10-24,1971-10-29,1971-10-29
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1971-11-25,1971-11-30,1971-11-30
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1971-12-01,1971-12-06,1971-12-06
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1972-01-06,1972-01-11,1972-01-11
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1972-07-07,1972-07-12,1972-07-12
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1972-10-18,1972-10-23,1972-10-23
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1972-12-16,1972-12-21,1972-12-21
2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1973-08-08,1973-08-13,1973-08-13
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1973-09-03,1973-09-08,1973-09-08
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1973-09-11,1973-09-16,1973-09-16
0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,FLOODS,1973-10-04,1973-10-09,1973-10-09
