deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,0201-03-03,0201-03-08,0201-03-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,0201-05-22,0201-05-27,0201-05-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1989-02-22,1989-02-27,1989-02-27
0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,STORMS,1989-04-11,1989-04-16,1989-04-16
0,0,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0.0,STORMS,1989-09-02,1989-09-07,1989-09-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1989-09-24,1989-09-29,1989-09-29
1,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0,0.0,STORMS,1990-05-14,1990-05-19,1990-05-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1990-09-07,1990-09-12,1990-09-12
6,5,0,0,0,0,0,0,0,0,0,16,0,0.0,0,0.0,STORMS,1990-09-27,1990-10-02,1990-10-02
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1990-10-07,1990-10-12,1990-10-12
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,STORMS,1991-02-09,1991-02-14,1991-02-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1991-03-02,1991-03-07,1991-03-07
0,16,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1991-06-22,1991-06-27,1991-06-27
3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1991-10-23,1991-10-28,1991-10-28
2,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1991-10-30,1991-11-04,1991-11-04
60,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0.0,STORMS,1992-01-20,1992-01-25,1992-01-25
1,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,STORMS,1992-02-22,1992-02-27,1992-02-27
0,27,0,0,0,0,0,0,0,0,0,27,0,0.0,0,0.0,STORMS,1992-03-25,1992-03-30,1992-03-30
0,0,0,13,12,0,0,0,0,0,0,1,0,0.0,0,0.0,STORMS,1992-04-02,1992-04-07,1992-04-07
